cell_type,region_a,region_b,omega,omega_global_kn,kn,kf
Astrocyte,Human A13,Human A14,23.76094655023554,4.304545903603009,0.0006422853608876,0.0152613081300501
Astrocyte,Human A13,Human A19,25.784055071546835,4.439361124945878,0.0006104269117669,0.0157392811101529
Astrocyte,Human A13,Human A1C,20.88063257968338,3.226049206389373,0.0005477618142603,0.0114376131847501
Astrocyte,Human A13,Human A23,19.854604815312623,2.362438358371025,0.000421855441776,0.0083757730856516
Astrocyte,Human A13,Human A24,47.99725570455025,5.251818866126136,0.0003879339152745,0.0186197633278981
Astrocyte,Human A13,Human A25,35.31386136191019,4.282551482736874,0.0004299538105577,0.0151833292580629
Astrocyte,Human A13,Human A29-A30,26.88594917935399,10.920589233321488,0.0014400750164502,0.0387177837067381
Astrocyte,Human A13,Human A32,32.09016848835377,4.729903257421611,0.0005225702458043,0.0167693672348618
Astrocyte,Human A13,Human A35-36,16.76812915829257,15.034736643902574,0.0031788909660386,0.0533040542986654
Astrocyte,Human A13,Human A35-A36,40.21416818416312,9.535430881725684,0.0008406701945748,0.033806852592048
Astrocyte,Human A13,Human A35r,42.99257928694164,14.765942049513015,0.0012176769251268,0.0523510717493941
Astrocyte,Human A13,Human A38,22.33227083952397,3.455088150562727,0.0005485177215893,0.0122496463188108
Astrocyte,Human A13,Human A40,19.416021159061337,3.8492599334026956,0.000702880378939,0.0136471403097697
Astrocyte,Human A13,Human A43,14.445083129893987,1.9927039044673909,0.000489088153596,0.0070649190365413
Astrocyte,Human A13,Human A44-A45,21.2660965478466,2.994307987326604,0.0004991983084232,0.0106159994234495
Astrocyte,Human A13,Human A46,20.939794324259825,4.225320405109397,0.0007154044757042,0.0149804225799028
Astrocyte,Human A13,Human A5-A7,17.395849465973452,3.212973413982661,0.0006548259905601,0.0113912543581904
Astrocyte,Human A13,Human ANC,135.82688053513726,56.8956689597601,0.0014851075260508,0.2017175225227441
Astrocyte,Human A13,Human AON,35.24729036325383,3.907826231425584,0.0003930736441458,0.0138547808693501
Astrocyte,Human A13,Human BL,54.56823992765394,24.11090745781833,0.001566527515727,0.0854826493314646
Astrocyte,Human A13,Human BM,56.110755298419136,18.354405543241494,0.0011597346314054,0.0650735861138912
Astrocyte,Human A13,Human BNST,109.08812280567686,36.21249269571682,0.0011769157359868,0.1283875283392707
Astrocyte,Human A13,Human CA1-3,48.48451386101498,18.52077257687303,0.0013543174396995,0.0656634226773271
Astrocyte,Human A13,Human CA1C-CA3C,85.74459870672288,21.72997110447675,0.0008984973367502,0.0770412935787081
Astrocyte,Human A13,Human CA1R-CA2R,69.33863740357685,19.104720557903935,0.0009768543262865,0.0677337479264954
Astrocyte,Human A13,Human CA1R-CA2R-CA3R,31.362458088917165,13.953801621824212,0.0015774182748211,0.0494717145327699
Astrocyte,Human A13,Human CA1U,80.53242936077737,22.196536115085912,0.0009771895701859,0.078695450033085
Astrocyte,Human A13,Human CA1U-CA2U-CA3U,38.95123873261692,18.170616115156086,0.0016539135187054,0.0644219803101967
Astrocyte,Human A13,Human CA2U-CA3U,67.40599832544368,18.762907485079094,0.0009868837760271,0.0665218861542948
Astrocyte,Human A13,Human CA3R,79.55127662452102,41.09187141886637,0.0018313577238217,0.1456868448861952
Astrocyte,Human A13,Human CA4C-DGC,111.20763549640624,21.05599989452609,0.0006712830485536,0.0746518005784754
Astrocyte,Human A13,Human CBL,109.5640729706503,92.96216021661239,0.0030081705563259,0.3295874183414562
Astrocyte,Human A13,Human CBV,106.36928969134544,96.3913354780387,0.0032128182323003,0.3417451932771974
Astrocyte,Human A13,Human CEN,56.22838266635068,39.66605198127773,0.0025010812611285,0.1406317542303745
Astrocyte,Human A13,Human CM,94.11674640723731,65.7653535117897,0.0024773916593002,0.2331640425497618
Astrocyte,Human A13,Human CM-Pf,145.85446247519826,61.18623413590524,0.0014872994613549,0.2169292634755832
Astrocyte,Human A13,Human CMN,80.0789546354288,24.655481917103444,0.0010915899234586,0.0874133799611343
Astrocyte,Human A13,Human CaB,99.95892240592954,23.906955396441155,0.0008479439055869,0.0847595590631437
Astrocyte,Human A13,Human CbDN,122.71180613091887,71.43693033264073,0.0020639579914611,0.2532720129105398
Astrocyte,Human A13,Human Cla,65.17617554260912,18.355382822048977,0.0009984791284518,0.0650770509516102
Astrocyte,Human A13,Human CoA,37.69580151532967,17.795479124730015,0.001673713506761,0.0630919721443923
Astrocyte,Human A13,Human DGR-CA4Rpy,58.978689778613685,22.175776209127907,0.0013330551814067,0.07862184800196
Astrocyte,Human A13,Human DGU-CA4Upy,88.48158193584214,23.87296025583032,0.0009565723291584,0.0846390329199907
Astrocyte,Human A13,Human DTg,166.24034381209697,61.23195549138207,0.0013058885628119,0.2170913636621491
Astrocyte,Human A13,Human ETH,122.7717703413117,64.33762695846997,0.0018579368024465,0.2281021904186395
Astrocyte,Human A13,Human FI,35.47275260698397,8.228521405583543,0.0008224155829676,0.02917334451474
Astrocyte,Human A13,Human GPe,110.98573086215052,39.53979374485765,0.0012630823623736,0.1401841191271338
Astrocyte,Human A13,Human GPi,118.37938324835451,58.556757285078156,0.0017537406279361,0.2076067339126584
