cell_type,comparison,donor,n_cells_a,n_cells_b,k_n,k_f,omega,raw_js,perm_P,null_mean,null_sd
CD14+ Monocytes,donor_vs_donor_stim,101|1244,253,290,0.0027241239497367534,0.06704977954690758,24.613336538297737,0.0061361078731793995,,,
CD14+ Monocytes,donor_vs_donor_stim,101|1256,253,375,0.0021115320801269044,0.07407202214430715,35.07975220525912,0.005866670249963921,,,
CD14+ Monocytes,donor_vs_donor_stim,101|1488,253,348,0.003057489478632663,0.034586918902563796,11.312195559224419,0.003881194517375255,,,
CD14+ Monocytes,donor_vs_donor_stim,1015|1016,671,329,0.003728620956818788,0.04490459354271486,12.04321760317168,0.0034930379883203752,,,
CD14+ Monocytes,donor_vs_donor_stim,1015|1039,671,165,0.002056599612217358,0.17994803082213673,87.49784340770282,0.012416276802545985,,,
CD14+ Monocytes,donor_vs_donor_stim,1015|107,671,169,0.002185481565719078,0.04111030123362935,18.81063738009752,0.00400478192226263,,,
CD14+ Monocytes,donor_vs_donor_stim,1015|1244,671,290,0.0015554969261677189,0.07980143598612807,51.302856755066074,0.005043080182094062,,,
CD14+ Monocytes,donor_vs_donor_stim,1015|1256,671,375,0.0011604348626238568,0.09391165623126743,80.92798592669303,0.004327511226266668,,,
CD14+ Monocytes,donor_vs_donor_stim,1015|1488,671,348,0.0010768512677686616,0.03956860734305814,36.74472838300879,0.002149549986737478,,,
CD14+ Monocytes,donor_vs_donor_stim,1016|1039,329,165,0.0033199713331789164,0.20822973631664116,62.72034165947404,0.014225218942610803,,,
CD14+ Monocytes,donor_vs_donor_stim,1016|107,329,169,0.004129379912701558,0.07160826069602105,17.341165552668386,0.005217659762088368,,,
CD14+ Monocytes,donor_vs_donor_stim,1016|1244,329,290,0.002824230259828888,0.08226943514554103,29.129861086654277,0.006289407650480331,,,
CD14+ Monocytes,donor_vs_donor_stim,1016|1256,329,375,0.002892694039510089,0.09067453144393313,31.346049808741576,0.006173038427021729,,,
CD14+ Monocytes,donor_vs_donor_stim,1016|1488,329,348,0.003618608396954052,0.02896901676356946,8.005568325092598,0.00328486457525777,,,
CD14+ Monocytes,donor_vs_donor_stim,1039|107,165,169,0.002555573730246388,0.17369714101053454,67.96796310540728,0.01616304793662518,,,
CD14+ Monocytes,donor_vs_donor_stim,1039|1244,165,290,0.0020434537704772235,0.18118245506950076,88.66481722617479,0.01587857273146315,,,
CD14+ Monocytes,donor_vs_donor_stim,1039|1256,165,375,0.0019314032633007952,0.2743779176095387,142.06143420334863,0.015355503974117005,,,
CD14+ Monocytes,donor_vs_donor_stim,1039|1488,165,348,0.002331814964022137,0.233411232944149,100.09852262957394,0.014503023600360071,,,
CD14+ Monocytes,donor_vs_donor_stim,107|1244,169,290,0.0018724143516488001,0.07567899746210378,40.41786872412231,0.005157248884315596,,,
CD14+ Monocytes,donor_vs_donor_stim,107|1256,169,375,0.002365402727272926,0.06964477103437042,29.44309238818876,0.006724145337811212,,,
CD14+ Monocytes,donor_vs_donor_stim,107|1488,169,348,0.002168272322166143,0.032529953035043836,15.00270639554437,0.0033880337129973096,,,
CD14+ Monocytes,donor_vs_donor_stim,1244|1256,290,375,0.0016845880605227096,0.02453520091272404,14.564510747577678,0.0020415951190844795,,,
CD14+ Monocytes,donor_vs_donor_stim,1244|1488,290,348,0.0017365971499936407,0.04925900991216929,28.365248619894185,0.004746178085928098,,,
CD14+ Monocytes,donor_vs_donor_stim,1256|1488,375,348,0.001328940201927769,0.11670177347071777,87.81566943450837,0.0046473454437427845,,,
CD14+ Monocytes,split_half,101|ctrl,101,101,,,8.2813887370514,,,,
CD14+ Monocytes,split_half,101|ctrl,101,101,,,7.873416680364087,,,,
CD14+ Monocytes,split_half,101|ctrl,101,101,,,8.393145995896502,,,,
CD14+ Monocytes,split_half,101|ctrl,101,101,,,7.448149940687824,,,,
CD14+ Monocytes,split_half,101|ctrl,101,101,,,7.525251706655201,,,,
CD14+ Monocytes,split_half,101|ctrl,101,101,,,7.082546198348573,,,,
CD14+ Monocytes,split_half,101|stim,126,126,,,7.693292752634266,,,,
CD14+ Monocytes,split_half,101|stim,126,126,,,6.0594841710783856,,,,
CD14+ Monocytes,split_half,101|stim,126,126,,,7.160426345898127,,,,
CD14+ Monocytes,split_half,101|stim,126,126,,,6.614341649578574,,,,
CD14+ Monocytes,split_half,101|stim,126,126,,,7.678165274195375,,,,
CD14+ Monocytes,split_half,101|stim,126,126,,,7.283121621570667,,,,
CD14+ Monocytes,split_half,1015|ctrl,389,389,,,29.4836946639955,,,,
CD14+ Monocytes,split_half,1015|ctrl,389,389,,,27.84761944564569,,,,
CD14+ Monocytes,split_half,1015|ctrl,389,389,,,27.131150422490332,,,,
CD14+ Monocytes,split_half,1015|ctrl,389,389,,,29.700566433247143,,,,
CD14+ Monocytes,split_half,1015|ctrl,389,389,,,22.322674962767756,,,,
CD14+ Monocytes,split_half,1015|ctrl,389,389,,,23.53920746383978,,,,
CD14+ Monocytes,split_half,1015|stim,335,335,,,8.073266961660588,,,,
CD14+ Monocytes,split_half,1015|stim,335,335,,,74.07123380184517,,,,
CD14+ Monocytes,split_half,1015|stim,335,335,,,24.37532761014141,,,,
CD14+ Monocytes,split_half,1015|stim,335,335,,,16.204897096368814,,,,
CD14+ Monocytes,split_half,1015|stim,335,335,,,8.187774144626745,,,,
CD14+ Monocytes,split_half,1015|stim,335,335,,,54.39263235246296,,,,
CD14+ Monocytes,split_half,1016|ctrl,184,184,,,8.808541924702523,,,,
CD14+ Monocytes,split_half,1016|ctrl,184,184,,,10.133750864879516,,,,
CD14+ Monocytes,split_half,1016|ctrl,184,184,,,11.668087357012014,,,,
CD14+ Monocytes,split_half,1016|ctrl,184,184,,,10.724450755349496,,,,
CD14+ Monocytes,split_half,1016|ctrl,184,184,,,8.957305353937837,,,,
CD14+ Monocytes,split_half,1016|ctrl,184,184,,,9.29568798043971,,,,
CD14+ Monocytes,split_half,1016|stim,164,164,,,33.69305652250641,,,,
CD14+ Monocytes,split_half,1016|stim,164,164,,,34.439844519943996,,,,
CD14+ Monocytes,split_half,1016|stim,164,164,,,32.47806541903807,,,,
CD14+ Monocytes,split_half,1016|stim,164,164,,,33.261894904273234,,,,
CD14+ Monocytes,split_half,1016|stim,164,164,,,34.33640729267867,,,,
CD14+ Monocytes,split_half,1016|stim,164,164,,,26.12434321291481,,,,
CD14+ Monocytes,split_half,1039|ctrl,63,63,,,7.730657621460549,,,,
CD14+ Monocytes,split_half,1039|ctrl,63,63,,,10.867923199016698,,,,
CD14+ Monocytes,split_half,1039|ctrl,63,63,,,4.979110341385925,,,,
CD14+ Monocytes,split_half,1039|ctrl,63,63,,,7.752427714788777,,,,
CD14+ Monocytes,split_half,1039|ctrl,63,63,,,7.015980187407477,,,,
CD14+ Monocytes,split_half,1039|ctrl,63,63,,,20.097203303497196,,,,
CD14+ Monocytes,split_half,1039|stim,82,82,,,8.947767688063132,,,,
CD14+ Monocytes,split_half,1039|stim,82,82,,,9.836840045111794,,,,
CD14+ Monocytes,split_half,1039|stim,82,82,,,8.355076049380298,,,,
CD14+ Monocytes,split_half,1039|stim,82,82,,,8.897041906616437,,,,
CD14+ Monocytes,split_half,1039|stim,82,82,,,16.191625463905083,,,,
CD14+ Monocytes,split_half,1039|stim,82,82,,,13.174550407493932,,,,
CD14+ Monocytes,split_half,107|ctrl,104,104,,,29.39401238581903,,,,
CD14+ Monocytes,split_half,107|ctrl,104,104,,,26.080785817558283,,,,
CD14+ Monocytes,split_half,107|ctrl,104,104,,,26.257478600008255,,,,
CD14+ Monocytes,split_half,107|ctrl,104,104,,,34.53384044542634,,,,
CD14+ Monocytes,split_half,107|ctrl,104,104,,,41.05538059852056,,,,
CD14+ Monocytes,split_half,107|ctrl,104,104,,,36.355584947304564,,,,
CD14+ Monocytes,split_half,107|stim,84,84,,,6.9190528531233175,,,,
CD14+ Monocytes,split_half,107|stim,84,84,,,7.368632318526293,,,,
CD14+ Monocytes,split_half,107|stim,84,84,,,6.145430866474327,,,,
CD14+ Monocytes,split_half,107|stim,84,84,,,8.525639197139308,,,,
CD14+ Monocytes,split_half,107|stim,84,84,,,9.34250925746207,,,,
CD14+ Monocytes,split_half,107|stim,84,84,,,6.406185880940503,,,,
CD14+ Monocytes,split_half,1244|ctrl,207,207,,,8.064164679396313,,,,
CD14+ Monocytes,split_half,1244|ctrl,207,207,,,7.103528150783002,,,,
CD14+ Monocytes,split_half,1244|ctrl,207,207,,,7.718873905661047,,,,
CD14+ Monocytes,split_half,1244|ctrl,207,207,,,7.154150087218207,,,,
CD14+ Monocytes,split_half,1244|ctrl,207,207,,,6.79465998865576,,,,
CD14+ Monocytes,split_half,1244|ctrl,207,207,,,7.648088435819132,,,,
CD14+ Monocytes,split_half,1244|stim,145,145,,,19.35560579412978,,,,
CD14+ Monocytes,split_half,1244|stim,145,145,,,23.497666929951375,,,,
CD14+ Monocytes,split_half,1244|stim,145,145,,,24.5602582578583,,,,
CD14+ Monocytes,split_half,1244|stim,145,145,,,23.111330702073744,,,,
CD14+ Monocytes,split_half,1244|stim,145,145,,,25.193352350241693,,,,
CD14+ Monocytes,split_half,1244|stim,145,145,,,25.779062288957004,,,,
CD14+ Monocytes,split_half,1256|ctrl,195,195,,,53.18019686832485,,,,
CD14+ Monocytes,split_half,1256|ctrl,195,195,,,43.23178069934636,,,,
CD14+ Monocytes,split_half,1256|ctrl,195,195,,,53.42175407774736,,,,
CD14+ Monocytes,split_half,1256|ctrl,195,195,,,36.20705872237149,,,,
CD14+ Monocytes,split_half,1256|ctrl,195,195,,,52.39720105777378,,,,
CD14+ Monocytes,split_half,1256|ctrl,195,195,,,52.724793704757786,,,,
CD14+ Monocytes,split_half,1256|stim,187,187,,,34.69098288724935,,,,
CD14+ Monocytes,split_half,1256|stim,187,187,,,26.860422329076602,,,,
CD14+ Monocytes,split_half,1256|stim,187,187,,,33.05391089891415,,,,
CD14+ Monocytes,split_half,1256|stim,187,187,,,34.87820877565781,,,,
CD14+ Monocytes,split_half,1256|stim,187,187,,,37.620534198017566,,,,
CD14+ Monocytes,split_half,1256|stim,187,187,,,35.96099124410933,,,,
CD14+ Monocytes,split_half,1488|ctrl,147,147,,,26.92636444197922,,,,
CD14+ Monocytes,split_half,1488|ctrl,147,147,,,13.87448403855284,,,,
CD14+ Monocytes,split_half,1488|ctrl,147,147,,,28.66709838771054,,,,
CD14+ Monocytes,split_half,1488|ctrl,147,147,,,13.204668874641643,,,,
CD14+ Monocytes,split_half,1488|ctrl,147,147,,,9.038486910719437,,,,
CD14+ Monocytes,split_half,1488|ctrl,147,147,,,15.444242814762346,,,,
CD14+ Monocytes,split_half,1488|stim,174,174,,,8.664321754270501,,,,
CD14+ Monocytes,split_half,1488|stim,174,174,,,8.351291740112018,,,,
