label,w1,w2,auc,u_stat,p_val,effect_sep,omega_mean,omega_median
identity_only,1.0,0.0,0.6481698389458272,4806.0,0.01189872594495558,1.345554985276333,5.7260981479406174,4.8007266119793375
w1=0.8_w2=0.2,0.8,0.2,0.6422401171303074,4887.0,0.01500716357551604,1.3114673316737469,4.763975107241486,3.988762759029598
w1=0.5_w2=0.5,0.5,0.5,0.608272327964861,5351.0,0.04930984489868192,1.2306679960055844,3.3207905461927867,2.811795021667794
w1=0.2_w2=0.8,0.2,0.8,0.5486090775988287,6166.0,0.22929413073791943,1.0635648685857124,1.877605985144089,1.6538715533271673
pathway_only,0.0,1.0,0.48711566617862373,7006.0,0.5781496946455194,0.7981785004232763,0.9154829444449563,0.8141807064284733
