section,cancer,metric,n,pearson_r,p,slope_per_SD_admix,r2_pct,test,stat,comparison,se
B_luad_unadjusted,TCGA-LUAD,kf,492,,0.014551186314969655,,,Dunn-Holm (unadj),-2.817,EGFR vs KRAS,
B_luad_unadjusted,TCGA-LUAD,kf,492,,0.09689304091084106,,,Dunn-Holm (unadj),-1.973,WT vs KRAS,
B_luad_unadjusted,TCGA-LUAD,kf,492,,0.09922347139898768,,,Dunn-Holm (unadj),1.649,WT vs EGFR,
B_luad_unadjusted,TCGA-LUAD,kn,492,,0.41460715420445515,,,Dunn-Holm (unadj),0.816,EGFR vs KRAS,
B_luad_unadjusted,TCGA-LUAD,kn,492,,0.00041821579040335344,,,Dunn-Holm (unadj),3.809,WT vs KRAS,
B_luad_unadjusted,TCGA-LUAD,kn,492,,0.08945292763862867,,,Dunn-Holm (unadj),2.007,WT vs EGFR,
C_luad_ancova,TCGA-LUAD,omega,492,,7.8848691681249855e-28,,,admix_z coefficient,17.7683,,
C_luad_ancova,TCGA-LUAD,omega,492,,0.7279250791415016,,,OLS adj diff (group + admix),-1.6454,EGFR - WT,4.7269
C_luad_ancova,TCGA-LUAD,omega,492,,4.001436423208246e-06,,,OLS adj diff (group + admix),16.8258,KRAS - WT,3.6073
C_luad_ancova,TCGA-LUAD,omega,492,,0.00048003524942669904,,,OLS adj diff (group + admix),18.4712,KRAS - EGFR,5.2544
C_luad_ancova,TCGA-LUAD,omega,492,,8.797115727035758e-06,,,group F-test adj for admix,11.923,,
C_luad_ancova,TCGA-LUAD,kf,492,,0.000567487836264173,,,admix_z coefficient,-0.007,,
C_luad_ancova,TCGA-LUAD,kf,492,,0.4370905293535962,,,OLS adj diff (group + admix),-0.0048,EGFR - WT,0.0062
C_luad_ancova,TCGA-LUAD,kf,492,,0.009211506012927527,,,OLS adj diff (group + admix),0.0124,KRAS - WT,0.0047
C_luad_ancova,TCGA-LUAD,kf,492,,0.012939079907416027,,,OLS adj diff (group + admix),0.0172,KRAS - EGFR,0.0069
C_luad_ancova,TCGA-LUAD,kf,492,,0.012645110750578628,,,group F-test adj for admix,4.41,,
C_luad_ancova,TCGA-LUAD,kn,492,,7.98427335370261e-21,,,admix_z coefficient,-0.0006,,
C_luad_ancova,TCGA-LUAD,kn,492,,0.42286595670673593,,,OLS adj diff (group + admix),-0.0001,EGFR - WT,0.0002
C_luad_ancova,TCGA-LUAD,kn,492,,0.0029331812561434593,,,OLS adj diff (group + admix),-0.0004,KRAS - WT,0.0001
C_luad_ancova,TCGA-LUAD,kn,492,,0.1838348425238119,,,OLS adj diff (group + admix),-0.0003,KRAS - EGFR,0.0002
C_luad_ancova,TCGA-LUAD,kn,492,,0.011835647248822337,,,group F-test adj for admix,4.477,,
C_luad_resid,TCGA-LUAD,omega,492,,7.230390300506824e-06,,,KW on admix residuals,23.674,,
C_luad_resid,TCGA-LUAD,omega,492,,0.0007007985340736766,,,Dunn-Holm (admix-resid),-3.575,EGFR vs KRAS,
C_luad_resid,TCGA-LUAD,omega,492,,1.0741088194876625e-05,,,Dunn-Holm (admix-resid),-4.634,WT vs KRAS,
C_luad_resid,TCGA-LUAD,omega,492,,0.6470943895108854,,,Dunn-Holm (admix-resid),0.458,WT vs EGFR,
C_luad_resid,TCGA-LUAD,kf,492,,0.01285560419023875,,,KW on admix residuals,8.708,,
C_luad_resid,TCGA-LUAD,kf,492,,0.020073891856153603,,,Dunn-Holm (admix-resid),-2.712,EGFR vs KRAS,
C_luad_resid,TCGA-LUAD,kf,492,,0.037590661359069966,,,Dunn-Holm (admix-resid),-2.35,WT vs KRAS,
C_luad_resid,TCGA-LUAD,kf,492,,0.21420352746514837,,,Dunn-Holm (admix-resid),1.242,WT vs EGFR,
C_luad_resid,TCGA-LUAD,kn,492,,0.011371949600474999,,,KW on admix residuals,8.953,,
C_luad_resid,TCGA-LUAD,kn,492,,0.1377024147577952,,,Dunn-Holm (admix-resid),1.819,EGFR vs KRAS,
C_luad_resid,TCGA-LUAD,kn,492,,0.009116466297736991,,,Dunn-Holm (admix-resid),2.964,WT vs KRAS,
C_luad_resid,TCGA-LUAD,kn,492,,0.8169768306159384,,,Dunn-Holm (admix-resid),0.231,WT vs EGFR,
D_nntt_highpurity,TCGA-LUAD,omega,2000,,,,,NN/TT all tumours,2.464,,
D_nntt_highpurity,TCGA-LUAD,omega,482,,"CI95 [2.410,3.451]",,,NN/TT low-admix half,2.863,,
D_nntt_highpurity,TCGA-LUSC,omega,2000,,,,,NN/TT all tumours,1.822,,
D_nntt_highpurity,TCGA-LUSC,omega,529,,"CI95 [1.596,2.416]",,,NN/TT low-admix half,1.984,,
D_nntt_highpurity,TCGA-LIHC,omega,2000,,,,,NN/TT all tumours,1.133,,
D_nntt_highpurity,TCGA-LIHC,omega,503,,"CI95 [1.008,1.461]",,,NN/TT low-admix half,1.217,,
D_nntt_highpurity,TCGA-KIRC,omega,2000,,,,,NN/TT all tumours,1.895,,
D_nntt_highpurity,TCGA-KIRC,omega,513,,"CI95 [1.879,2.576]",,,NN/TT low-admix half,2.204,,
D_nntt_highpurity,TCGA-BRCA,omega,2000,,,,,NN/TT all tumours,1.567,,
D_nntt_highpurity,TCGA-BRCA,omega,496,,"CI95 [1.446,2.069]",,,NN/TT low-admix half,1.74,,
