sample,nonparenchymal_frac,sse,frac_endothelial,frac_epithelial,frac_immune,kn_pt,admix
TCGA-A3-3306-01,0.3458079482598161,9.520374784166275,0.15884857930907573,0.6541920517401839,0.18695936895074036,0.00201416482188122,21637.205239437328
TCGA-A3-3307-01,0.38948533609950375,10.025960635541141,0.2778195056770396,0.6105146639004962,0.11166583042246411,0.00211513626899307,27852.318176637527
TCGA-A3-3308-01,0.4877924135526194,10.445887106477258,0.40668601364830187,0.5122075864473806,0.08110639990431746,0.002548925123559575,29333.194095290884
TCGA-A3-3311-01,0.37091311516501657,9.699880883336746,0.20869961034203985,0.6290868848349834,0.16221350482297667,0.00186449361932776,28755.599379192245
TCGA-A3-3313-01,0.30004928188480495,8.136956851126937,0.21045784854689725,0.699950718115195,0.08959143333790755,0.00316618248974802,18961.051129400137
TCGA-A3-3316-01,0.4990005191227279,10.870822662543333,0.3416736939835001,0.5009994808772721,0.1573268251392278,0.0018018149307796,29933.458346642044
TCGA-A3-3317-01,0.4635813876306786,10.211623477356692,0.2851020006788162,0.5364186123693214,0.17847938695186244,0.002342837449670757,30235.141377287044
TCGA-A3-3319-01,0.3221522922223059,7.935793694143475,0.012752970538004135,0.6778477077776941,0.3093993216843018,0.004133108532842475,24341.791421539994
TCGA-A3-3320-01,0.3299580044916619,8.470138125115094,0.28296906875980976,0.6700419955083381,0.04698893573185214,0.0022414162985898,26619.199326848524
TCGA-A3-3322-01,0.36548116487821714,8.924929828313983,0.2996631955107887,0.6345188351217829,0.06581796936742854,0.0017604091870807332,26275.737904309484
TCGA-A3-3323-01,0.5547403854699713,10.805216690109527,0.3726367344883213,0.44525961453002877,0.18210365098164985,0.0012568507997617001,30175.46355005789
TCGA-A3-3324-01,0.46210797735816,10.309377447052837,0.2588894499300302,0.53789202264184,0.20321852742812963,0.0026882328599270753,27472.69861415784
TCGA-A3-3325-01,0.4034607941977578,10.40546960230871,0.2887135250661097,0.5965392058022422,0.1147472691316481,0.0034856370864188,28237.38013499613
TCGA-A3-3326-01,0.4432368001644863,10.858354209839769,0.22597895025437928,0.5567631998355137,0.21725784991010702,0.0026113992017752336,28051.80866401101
TCGA-A3-3328-01,0.6040806261622653,12.024273837335688,0.368544225850795,0.39591937383773473,0.23553640031147016,0.0034995028940061,4537.368129711107
TCGA-A3-3329-01,0.3466214647687731,9.999716456623254,0.1762316485450122,0.6533785352312269,0.17038981622376095,0.00276086790864436,26810.120708553823
TCGA-A3-3331-01,0.3843819909947247,9.801598714400628,0.283375339202922,0.6156180090052753,0.10100665179180265,0.002601844084831471,27958.58718113599
TCGA-A3-3335-01,0.27844999017428784,8.210773608054978,0.04679405478305827,0.7215500098257122,0.23165593539122953,0.0021692333329061636,22285.56533044786
TCGA-A3-3343-01,0.40869585003600795,10.341382040432997,0.1770478350765147,0.591304149963992,0.23164801495949322,0.0014035163280798999,26132.457050712896
TCGA-A3-3346-01,0.49560811703374175,10.52802755951668,0.03739995167352559,0.5043918829662583,0.45820816536021614,0.0032389996956947,23205.949173124023
TCGA-A3-3347-01,0.6077448065184308,10.93537345461054,0.22131550745314604,0.3922551934815693,0.3864292990652847,0.0031107843835990003,33541.336402663896
TCGA-A3-3349-01,0.5382864977007504,10.642977843866579,0.4805737188121243,0.4617135022992496,0.05771277888862606,0.0015104482503000751,29878.36920613434
TCGA-A3-3351-01,0.5795859328259922,10.595936401093025,0.24126073634865058,0.42041406717400776,0.3383251964773418,0.0030118865588178497,30098.928524090064
TCGA-A3-3352-01,0.35362006442408833,9.836718958866474,0.21792624783944883,0.6463799355759117,0.1356938165846395,0.0007975069514289,26555.51618082221
TCGA-A3-3357-01,0.3124096425149604,8.543895151374324,0.10116715754609319,0.6875903574850396,0.21124248496886722,0.00286712171587865,24830.529242831228
TCGA-A3-3358-01,0.4196745929907775,10.589743162733477,0.16054687268230308,0.5803254070092225,0.2591277203084744,0.0016980419043683,29797.487377706355
TCGA-A3-3359-01,0.35425078449806247,9.686084952163927,0.23395731106937476,0.6457492155019375,0.12029347342868774,0.0017348190442994665,27883.329161782887
TCGA-A3-3362-01,0.27792062664707484,8.111711572371812,0.26304323238199145,0.7220793733529252,0.014877394265083482,0.0012249711701842285,27831.519687288484
TCGA-A3-3363-01,0.3399304115254148,8.06527478207543,0.0,0.6600695884745852,0.3399304115254148,0.00302340125926518,21168.266356356587
TCGA-A3-3365-01,0.5616927045129398,10.876199405593923,0.4587463714746326,0.43830729548706016,0.1029463330383072,0.00162222319599645,29092.184885892093
TCGA-A3-3367-01,0.38850815863514754,9.992859638309003,0.27810648157845347,0.6114918413648525,0.11040167705669407,0.00215221198437066,26225.68920495238
TCGA-A3-3370-01,0.4289453784515317,10.026721217464138,0.24081923687969245,0.5710546215484683,0.1881261415718393,0.005088691581448525,30501.80454686802
TCGA-A3-3372-01,0.547206217697744,10.297410443506168,0.408469617942517,0.452793782302256,0.13873659975522695,0.00330009472693634,27872.90679581869
TCGA-A3-3373-01,0.33832379988787487,9.117160988632405,0.23566513656498017,0.6616762001121251,0.10265866332289475,0.0028350351134162,26564.82516776021
TCGA-A3-3374-01,0.7773498610154279,11.919335678560774,0.2798434297500581,0.22265013898457214,0.49750643126536975,0.006310735289620433,21645.22654839612
TCGA-A3-3376-01,0.6292715982957336,10.404363384439906,0.542338575176582,0.37072840170426635,0.08693302311915159,0.002971657198165575,30796.25594952489
TCGA-A3-3378-01,0.5658545633429468,9.906986149891111,0.11950719158211244,0.4341454366570532,0.44634737176083433,0.002422540354013083,30279.79748046608
TCGA-A3-3380-01,0.4642666080343886,10.200363323846902,0.3451237662409127,0.5357333919656114,0.11914284179347584,0.0041123637224994795,26716.49727095049
TCGA-A3-3382-01,0.4798190330217177,10.30213500571664,0.27369217048622224,0.5201809669782823,0.20612686253549545,0.002740580172495543,26599.475088189305
TCGA-A3-3383-01,0.4097852635265934,11.708214698669085,0.18959225825420314,0.5902147364734066,0.22019300527239027,0.0037876464393854664,26140.663329989147
TCGA-A3-3385-01,0.23701760127745064,7.0698838286222525,0.18297120768448155,0.7629823987225494,0.054046393592969026,0.00227091415233404,19201.740197864878
TCGA-A3-3387-01,0.5060445599613501,10.811733628794972,0.261777547703188,0.49395544003864994,0.24426701225816203,0.0019513336582006001,30426.74216919684
TCGA-A3-A6NI-01,0.4042896177510842,9.911513150413397,0.25702980347278004,0.5957103822489158,0.1472598142783041,0.0022071927366683333,25766.43992080901
TCGA-A3-A6NJ-01,0.42493589193864933,11.048406720990398,0.2696305273510698,0.5750641080613507,0.15530536458757951,0.00568358289786688,28979.139564956156
TCGA-A3-A6NN-01,0.5066701106030382,10.806558344041983,0.391374351195941,0.49332988939696176,0.11529575940709723,0.0036801132946356,29088.677564103466
TCGA-A3-A8CQ-01,0.3920770248911356,9.480625655661974,0.3869237089217667,0.6079229751088644,0.0051533159693689205,0.0015949701817329445,26424.45403954201
TCGA-A3-A8OU-01,0.39795335381919106,10.693754631215878,0.3211091638712219,0.6020466461808089,0.07684418994796917,0.002736625034889586,28132.23873800984
TCGA-A3-A8OV-01,0.30555958197931987,9.159693737317292,0.21128583534284123,0.6944404180206801,0.09427374663647871,0.0021972355663001,23019.986418775068
TCGA-A3-A8OW-01,0.3909345437474562,9.379676261622096,0.3787857881174909,0.6090654562525438,0.012148755629965135,0.0023152884726457,26152.02477602657
TCGA-A3-A8OX-01,0.40155174220803214,10.474348957209465,0.22325769533208556,0.5984482577919679,0.17829404687594672,0.0020869469813334833,30756.053362450693
TCGA-AK-3425-01,0.37331542617796887,10.014308214731017,0.23046209767393303,0.6266845738220311,0.14285332850403595,0.0013914702328897198,29357.297150503666
TCGA-AK-3426-01,0.7968929384526561,10.193990321312349,0.16694716569014997,0.20310706154734393,0.6299457727625061,0.00461951467448168,31208.565458492973
TCGA-AK-3427-01,0.589415095875383,11.969850246937211,0.37678620115080597,0.41058490412461707,0.21262889472457697,0.01165089808586495,-594.039288744556
TCGA-AK-3428-01,0.4273009489531634,10.710348283295254,0.31255970366901414,0.5726990510468366,0.11474124528414914,0.0022143011156931336,24956.173888082933
TCGA-AK-3429-01,0.45716038177714236,11.703388640328143,0.1700935100658127,0.5428396182228576,0.28706687171132983,0.002749087406770825,27215.671686691883
TCGA-AK-3431-01,0.634455216403861,11.34527251252894,0.4862508847034081,0.365544783596139,0.14820433170045286,0.003670767168512478,29327.84774169219
TCGA-AK-3433-01,0.699419654210967,11.684684610356562,0.4526218289369905,0.300580345789033,0.2467978252739766,0.00370207953575735,10303.657705853628
TCGA-AK-3434-01,0.4457880723071732,11.098357912237635,0.3355156865975611,0.5542119276928268,0.11027238570961212,0.0015225506877750601,27545.829474860235
TCGA-AK-3436-01,0.3655942529267645,10.162554663239703,0.2222167627132618,0.6344057470732355,0.14337749021350274,0.0052099293032162,21406.913637086363
TCGA-AK-3440-01,0.6656837692313482,10.939682187932906,0.4846374374764817,0.33431623076865175,0.18104633175486654,0.005267174917202799,5475.228110265132
TCGA-AK-3443-01,0.638810253661792,9.568514192790325,0.5163080663818396,0.361189746338208,0.12250218727995245,0.0031563587787032605,-2915.434558392095
