cell_type,region_a,region_b,pair_idx,omega,mu_ct,mu_pair,expected_omega,residual,lowest_in_pair,tier
Astrocyte,Human A13,Human A44-A45,14,63.78616100933926,76.82676000201486,35.50644206262928,83.76651138479423,0.7614756775094502,False,None
Astrocyte,Human A13,Human A46,15,59.023424577473286,76.82676000201486,34.12570042869128,80.50907687207352,0.7331275785370104,False,None
Astrocyte,Human A13,Human A5-A7,16,53.97154813506434,76.82676000201486,33.324294402469164,78.61840624669894,0.6865001557740242,False,None
Astrocyte,Human A13,Human ANC,17,55.4164897512796,76.82676000201486,38.50616099888684,90.84342407522881,0.6100220276306226,False,None
Astrocyte,Human A13,Human AON,18,59.562077838315794,76.82676000201486,38.1476486214231,89.99762456945365,0.6618183326866599,False,None
Astrocyte,Human A13,Human BL,19,56.08096444412905,76.82676000201486,37.058530059660626,87.42818485363125,0.6414517759692432,False,None
Astrocyte,Human A13,Human BM,20,58.37946562152459,76.82676000201486,38.19373999843738,90.10636297389861,0.6478950397591294,False,None
Astrocyte,Human A13,Human BNST,21,50.96111314006201,76.82676000201486,36.225071653410254,85.46189651213037,0.5963021559301419,False,None
Astrocyte,Human A13,Human CA1-3,22,29.369734822574774,76.82676000201486,29.16570297990787,68.80749094495629,0.42683920630196487,False,Weak
Astrocyte,Human A13,Human CA1C-CA3C,23,53.76685001666317,76.82676000201486,35.35334111852619,83.40531687382033,0.6446453539407363,False,None
Astrocyte,Human A13,Human CA1R-CA2R,24,48.59127828038578,76.82676000201486,32.877806967782526,77.56505669635888,0.6264583608905786,False,None
Astrocyte,Human A13,Human CA1R-CA2R-CA3R,25,66.1020215354016,76.82676000201486,38.38696054755358,90.56220733303685,0.7299073585112116,False,None
Astrocyte,Human A13,Human CA1U,26,70.6024844512135,76.82676000201486,38.37993812433573,90.5456400888903,0.779744716387247,False,None
