comparison,tissue_A,tissue_B,omega,kn,kf,delta_hk,delta_identity,p_value,null_mean,null_std,cohens_d,n_cells_A,n_cells_B,expected
同组织肝-肝(对照),Liver_A,Liver_B,5.526768165332196,0.014180468061790007,0.07837215945341096,0.014180468061790007,0.07837215945341096,0.001996007984031936,1.64417062097104,0.2218236367460849,17.50308308580051,431,327,conserved
肝vs肾(实质器官),Liver,Kidney,27.54606206846053,0.012065857979727401,0.33236687281880073,0.012065857979727401,0.33236687281880073,0.001996007984031936,2.4327825443836217,0.2785282977620149,90.1641941801355,758,578,moderate
肝vs脾(实质vs免疫),Liver,Spleen,15.610756233220762,0.028530376855964584,0.4453807583403865,0.028530376855964584,0.4453807583403865,0.001996007984031936,3.5907765256012234,0.525104653122258,22.89063644008688,758,1704,divergent
肝vs骨髓(实质vs造血),Liver,Marrow,18.28163538890224,0.022445003358684407,0.4103313677061545,0.022445003358684407,0.4103313677061545,0.001996007984031936,8.584129525332914,1.5149985014297,6.4010003009361505,758,5089,divergent
