label,w1,w2,auc,u_stat,p_val,effect_sep,omega_mean,omega_median
identity_only,1.0,0.0,0.8466325036603221,2095.0,6.1577431600452e-08,2.1061012558255157,7.62222086294781,6.906728778132736
w1=0.8_w2=0.2,0.8,0.2,0.8366764275256222,2231.0,1.3970626361568474e-07,2.0248843923063946,6.320290789572671,5.758689980073541
w1=0.5_w2=0.5,0.5,0.5,0.8014641288433382,2712.0,2.1173233847217646e-06,1.838875333883362,4.367395679509966,3.982065944560804
w1=0.2_w2=0.8,0.2,0.8,0.6970717423133236,4138.0,0.0013210056582575753,1.4809103588973445,2.41450056944726,2.2305099953777936
pathway_only,0.0,1.0,0.4835285505124451,7055.0,0.5994402199954899,0.9765380523057708,1.1125704960721226,0.9872211363660822
