tier,cell_type,sample_a,sample_b,roi_a,roi_b,donor_a,donor_b,n_cells_a,n_cells_b,B,k_n,k_f,omega,raw_js,cosine,spearman,marker_jaccard,null_med_k_n,null_p95_k_n,cal_k_n,exceed_k_n,null_med_k_f,null_p95_k_f,cal_k_f,exceed_k_f,null_med_omega,null_p95_omega,cal_omega,exceed_omega,null_med_raw_js,null_p95_raw_js,cal_raw_js,exceed_raw_js,null_med_cosine,null_p95_cosine,cal_cosine,exceed_cosine,null_med_spearman,null_p95_spearman,cal_spearman,exceed_spearman,null_med_marker_jaccard,null_p95_marker_jaccard,cal_marker_jaccard,exceed_marker_jaccard
T1_techrep,Astrocyte,10X172_3,10X172_4,Human A13,Human A13,H18.30.002,H18.30.002,81,85,100,0.0013639159270323773,0.011166756189673884,8.187276039785406,0.0015922994881100775,0.0061202774059520015,0.0346176619832419,0.13953488372093026,0.0012749372509774236,0.0013706033190458067,1.069790631646176,0,0.01223182192289629,0.015414248986154512,0.9129266482183861,0,9.695592783939828,11.963300513856318,0.8444327461181271,0,0.001592832196628598,0.0019174466584984174,0.9996655589209912,0,0.006129862386274609,0.006769522426619096,0.9984363465737714,0,0.03478133353690782,0.037467657903848484,0.9952942703162245,0,0.1264534245974288,0.1485748421232292,1.1034488323677034,0
T1_techrep,Astrocyte,10X379_3,10X379_4,Human A13,Human A13,H19.30.001,H19.30.001,139,155,100,0.003127769687132443,0.019349058830533915,6.186215983272491,0.0028506310615095736,0.012268907179626254,0.06794644434972852,0.13084112149532712,0.0030041722883430095,0.003257116087110051,1.041141914286682,0,0.02166363594761988,0.02340667441960319,0.8931584188968861,0,7.209157923705892,7.8895960262827725,0.8581052112799945,0,0.002815022253923243,0.002967903317637933,1.0126495652162975,0,0.012395481219182658,0.012819910269263619,0.9897886949834167,0,0.0685146622713409,0.07078950743065462,0.9917066230384082,0,0.1220657276995305,0.14814814814814814,1.0718907260963337,0
T1_techrep,Astrocyte,10X349_1,10X349_2,Human A13,Human A13,H19.30.002,H19.30.002,129,160,100,0.0016437948560109232,0.012448063284353529,7.572759604907056,0.001673883147241585,0.006637870674075841,0.03848398577962919,0.10426540284360186,0.00162829893581878,0.00180779390970908,1.0095166310382382,0,0.01267352459123672,0.01582041711088116,0.9822100548856718,0,7.684686197394524,9.77199419151568,0.9854351121682214,0,0.00169776327134345,0.0019249650431351613,0.9859343616952153,0,0.006571488710210904,0.00702417208138325,1.0101015107523188,0,0.03811267903019222,0.040082624565990585,1.0097423418895017,0,0.10426540284360186,0.1220657276995305,1.0,0
T1_techrep,Astrocyte,10X172_7,10X172_8,Human A14,Human A14,H18.30.002,H18.30.002,168,173,100,0.0006148518752066051,0.00767715597311057,12.486187783896503,0.0010095720979010072,0.003327583607608875,0.018407815720992926,0.09523809523809523,0.0006147108854779578,0.0006618317141449528,1.0002293594142841,0,0.006620204780071316,0.008587652319863652,1.159655362356913,0,10.878822269033616,14.494691922576536,1.147751794735927,0,0.000824868841061809,0.000969333760099766,1.2239183342183706,1,0.002996920600806585,0.0032399770872655054,1.110334256674433,1,0.01748482349774716,0.018300963275519177,1.0527881921921998,1,0.0861244019138756,0.09568946061837054,1.1058201058201056,0
T1_techrep,Astrocyte,10X175_3,10X175_4,Human A19,Human A19,H18.30.002,H18.30.002,165,204,100,0.0006643091394235239,0.00720753736814076,10.849673654039048,0.0008847042381333228,0.0034749186606831683,0.01964724226728598,0.06763285024154586,0.0007231654597360895,0.0007956528855787119,0.9186129266543724,0,0.006777863057433865,0.008290112520520814,1.0633937727962257,0,9.399317468837449,11.121660449952246,1.1543044151886686,0,0.0008652310208132116,0.0009989557452555317,1.0225063790498505,0,0.00342763013044739,0.003621510570077163,1.0137962756878922,0,0.019295720076890954,0.02017778912186676,1.0182176248926837,0,0.07692307692307687,0.09523809523809523,0.8792270531400967,0
T1_techrep,Astrocyte,10X276_3,10X276_4,Human A19,Human A19,H19.30.001,H19.30.001,67,90,100,0.0021046889116477854,0.021240192315319893,10.09184407147881,0.0027262439130220605,0.010557422423157936,0.056623390747184144,0.13084112149532712,0.0023528104697219604,0.002519997410637906,0.8945424796143923,0,0.019905303797506192,0.023760302734400322,1.0670619514976174,0,8.528208582980568,10.285422237296705,1.1833486450623092,0,0.0026183898194030598,0.002896970527151543,1.0411909994530872,0,0.010523537115736892,0.01118975185159637,1.0032199541892024,0,0.056316358508724296,0.05877354177629273,1.005451919239634,0,0.13084112149532712,0.13996554694229113,1.0,0
T1_techrep,Astrocyte,10X318_1,10X318_2,Human A19,Human A19,H19.30.002,H19.30.002,135,158,100,0.0012522853985525793,0.012014850403118893,9.59433881206787,0.0014796914347582272,0.005598986182870247,0.030357531198184184,0.09523809523809523,0.0012583055543968667,0.0013487175272499717,0.9952156645710962,0,0.010520684073191927,0.01326028536721226,1.142021784850882,0,8.395468293134892,10.815608564574191,1.1427997196908377,0,0.0013433015850249268,0.001513642116032927,1.1015333051444063,0,0.0055678755614551045,0.005887911881208824,1.0055875209623062,0,0.031071743062354107,0.0325716705844591,0.9770141036910399,0,0.10426540284360186,0.13084112149532712,0.9134199134199137,0
T1_techrep,Astrocyte,10X215_3,10X215_4,Human A1C,Human A1C,H18.30.002,H18.30.002,83,83,100,0.002587988596144294,0.030423471244375284,11.755643471420852,0.004056069075897447,0.013352073677371568,0.06483436676598975,0.1220657276995305,0.0023416034002087674,0.0025347628783730872,1.105220720090157,1,0.02084436465553766,0.023773637796361536,1.459553780944471,1,8.913956043763145,10.034838386562003,1.318790827967562,1,0.002741661551345298,0.003170557199339009,1.479420052379254,1,0.010876343538877564,0.011569663292890376,1.227625224382118,1,0.059614494546402275,0.06219131781387328,1.0875604542033728,1,0.1132075471698113,0.13084112149532712,1.078247261345853,0
T1_techrep,Astrocyte,10X276_7,10X276_8,Human A1C,Human A1C,H19.30.001,H19.30.001,138,134,100,0.0015619345345438528,0.012159360986546627,7.784808337116155,0.0015902349080473763,0.00671947111493576,0.03895882156281927,0.13084112149532712,0.0015556302582145718,0.0016863860529336488,1.0040525544524421,0,0.01301157500663824,0.01548162303857825,0.9345033925826174,0,8.383120983728542,10.13869325227314,0.9286288903889496,0,0.0017257833115655887,0.001952464942219862,0.9214568812841015,0,0.006944459496804167,0.007468228655903575,0.9676017432354603,0,0.03930430884583652,0.04083435775556612,0.9912099387277776,0,0.1132075471698113,0.14814814814814814,1.1557632398753899,0
T1_techrep,Astrocyte,10X265_1,10X265_2,Human A1C,Human A1C,H19.30.002,H19.30.002,112,116,100,0.0016870150123304397,0.01308972017104027,7.759101178926768,0.001738719368331386,0.006975458911837817,0.03961840856499421,0.0861244019138756,0.0016104686783818684,0.0017855412762884664,1.0475304704624755,0,0.013910116478554217,0.017345993312702673,0.9410216076350773,0,8.615680431091764,11.053472154562032,0.9005790362100916,0,0.0017876755161579598,0.0021059145579606304,0.9726146342643941,0,0.0070643036554990934,0.007604411083288354,0.9874234251535725,0,0.039597636631958866,0.04134767651248743,1.0005245750706895,0,0.10426540284360186,0.1220657276995305,0.8260113092648981,0
