pair_type,cancer,sample_a,sample_b,omega,kn,kf
TT,TCGA-LUAD,TCGA-75-6214-01,TCGA-86-8674-01,106.41918921976638,0.005728197601108055,0.6095901444005299
TT,TCGA-LUAD,TCGA-49-4505-01,TCGA-55-6986-01,118.11157859645306,0.004052611785463777,0.47866037541971684
TT,TCGA-LUAD,TCGA-44-7660-01,TCGA-KN-8432-01,60.97676772928479,0.009869032149542035,0.6017816810954688
TT,TCGA-LUAD,TCGA-NJ-A4YP-01,TCGA-TQ-A7RK-01,74.74221289623544,0.005421846515678383,0.40524080656554606
TT,TCGA-LUAD,TCGA-75-6211-01,TCGA-MP-A4T8-01,156.41426952431004,0.003524429739826407,0.5512711032447015
TT,TCGA-LUAD,TCGA-55-6984-01,TCGA-86-8671-01,136.42708409713103,0.0033587772095258423,0.4582281808275092
TT,TCGA-LUAD,TCGA-49-AARQ-01,TCGA-MT-A67F-01,57.25272815204292,0.011078181229386641,0.634256098345138
TT,TCGA-LUAD,TCGA-55-7573-01,TCGA-75-5126-01,118.73879172934627,0.0037694405750786112,0.44757881938040645
TT,TCGA-LUAD,TCGA-73-4675-01,TCGA-KN-8419-01,47.45106775293984,0.008147853078553677,0.38662432847145
TT,TCGA-LUAD,TCGA-75-7027-01,TCGA-L3-A4E7-01,123.25637012132492,0.004254262188780767,0.5243649149335201
TT,TCGA-LUAD,TCGA-05-4420-01,TCGA-75-6206-01,96.1265764748285,0.006149629106511276,0.5911427925988874
TT,TCGA-LUAD,TCGA-55-A48Y-01,TCGA-TQ-A8XE-01,66.09468810210345,0.007810179028543798,0.5162113469131916
TT,TCGA-LUAD,TCGA-55-6712-01,TCGA-55-6985-01,119.10927154467694,0.0022768189757329735,0.27119024963865196
TT,TCGA-LUAD,TCGA-55-8205-01,TCGA-91-6840-01,143.91412210988773,0.003768216696933022,0.5422995978589368
TT,TCGA-LUAD,TCGA-44-6148-01,TCGA-55-7573-01,243.33784377865658,0.0016424906218816145,0.3996801263553368
TT,TCGA-LUAD,TCGA-86-A456-01,TCGA-TQ-A7RN-01,71.9713613731663,0.006558073562601104,0.4719934822857722
TT,TCGA-LUAD,TCGA-73-4677-01,TCGA-MT-A67D-01,94.24050230173125,0.0065861745412698555,0.6206843970161456
