section,cancer,metric,n,pearson_r,p,slope_per_SD_admix,r2_pct,test,stat,comparison,se
C_luad_resid,TCGA-LUAD,kn,492,,0.8169768306159384,,,Dunn-Holm (admix-resid),0.231,WT vs EGFR,
D_nntt_highpurity,TCGA-LUAD,omega,2000,,,,,NN/TT all tumours,2.464,,
D_nntt_highpurity,TCGA-LUAD,omega,482,,"CI95 [2.410,3.451]",,,NN/TT low-admix half,2.863,,
D_nntt_highpurity,TCGA-LUSC,omega,2000,,,,,NN/TT all tumours,1.708,,
D_nntt_highpurity,TCGA-LUSC,omega,506,,"CI95 [1.442,2.245]",,,NN/TT low-admix half,1.817,,
D_nntt_highpurity,TCGA-LIHC,omega,2000,,,,,NN/TT all tumours,1.104,,
D_nntt_highpurity,TCGA-LIHC,omega,486,,"CI95 [0.968,1.412]",,,NN/TT low-admix half,1.167,,
D_nntt_highpurity,TCGA-KIRC,omega,2000,,,,,NN/TT all tumours,1.88,,
D_nntt_highpurity,TCGA-KIRC,omega,493,,"CI95 [1.944,2.668]",,,NN/TT low-admix half,2.269,,
D_nntt_highpurity,TCGA-BRCA,omega,2000,,,,,NN/TT all tumours,1.567,,
D_nntt_highpurity,TCGA-BRCA,omega,496,,"CI95 [1.488,2.082]",,,NN/TT low-admix half,1.74,,
