cell_type,region_a,region_b,omega,expected_omega,residual,tier
Astrocyte,Human A23,Human HTHtub,10.221328246000345,14.04,0.7278,Weak
Astrocyte,Human A23,Human IC,33.84208946814301,28.81,1.1746,None
Astrocyte,Human A23,Human IO,19.893003749694582,19.1,1.0414,None
Astrocyte,Human A23,Human ITG,5.030429769402856,6.84,0.7354,Weak
Astrocyte,Human A23,Human Idg,6.175436842309768,8.99,0.6868,Weak
Astrocyte,Human A23,Human Ig,3.3260776729428496,5.89,0.5649,Weak
Astrocyte,Human A23,Human LEC,13.284952747122905,13.0,1.022,None
Astrocyte,Human A23,Human LG,30.696989366505232,23.18,1.3245,None
Astrocyte,Human A23,Human LP,29.09888175654219,20.07,1.4499,None
Astrocyte,Human A23,Human LP-VPL,17.77351711099563,20.5,0.8671,None
Astrocyte,Human A23,Human La,6.5035198607310125,8.64,0.7523,None
Astrocyte,Human A23,Human M1C,6.500485478041648,10.07,0.6458,Weak
Astrocyte,Human A23,Human MD,30.07284746402747,24.91,1.2072,None
Astrocyte,Human A23,Human MD-Re,19.19611822282123,19.76,0.9715,None
Astrocyte,Human A23,Human MEC,10.043045451159744,10.84,0.9268,None
Astrocyte,Human A23,Human MG,14.593821722176001,11.57,1.2614,None
Astrocyte,Human A23,Human MN,8.722442733824469,14.42,0.605,Weak
Astrocyte,Human A23,Human MTG,5.795953585937619,7.73,0.7503,None
Astrocyte,Human A23,Human MoAN,27.93250892432275,21.14,1.3212,None
Astrocyte,Human A23,Human MoRF-MoEN,32.634797449869524,24.75,1.3186,None
Astrocyte,Human A23,Human MoSR,13.063825231644184,13.79,0.9474,None
Astrocyte,Human A23,Human NAC,20.582086891243627,16.89,1.2185,None
Astrocyte,Human A23,Human PAG,34.89413835882793,29.5,1.1829,None
Astrocyte,Human A23,Human PAG-DR,28.260527238164592,24.13,1.1712,None
Astrocyte,Human A23,Human PB,36.56674285219719,28.4,1.2877,None
Astrocyte,Human A23,Human PN,25.82231435454756,31.04,0.8319,None
Astrocyte,Human A23,Human PTR,23.65835502555807,18.47,1.2808,None
Astrocyte,Human A23,Human Pir,9.99786536135687,11.23,0.8903,None
Astrocyte,Human A23,Human PnAN,28.260721858497863,24.34,1.1613,None
Astrocyte,Human A23,Human PnEN,28.4306410579176,20.67,1.3757,None
Astrocyte,Human A23,Human PnRF,35.8024744411002,31.81,1.1254,None
Astrocyte,Human A23,Human Pro,4.599378278851933,7.25,0.6346,Weak
Astrocyte,Human A23,Human Pu,20.590663861108425,16.94,1.2154,None
Astrocyte,Human A23,Human Pul,43.483517688804945,27.61,1.5749,None
Astrocyte,Human A23,Human RN,18.20503179203716,15.62,1.1652,None
Astrocyte,Human A23,Human S1C,5.296637383712605,6.55,0.8092,None
Astrocyte,Human A23,Human SC,30.741429133885198,23.47,1.3096,None
Astrocyte,Human A23,Human SEP,12.358812033854234,15.67,0.7885,None
Astrocyte,Human A23,Human SI,11.247838712342295,13.64,0.8245,None
Astrocyte,Human A23,Human SN,38.65744731632383,33.11,1.1676,None
Astrocyte,Human A23,Human SN-RN,30.647006080143672,30.68,0.9988,None
Astrocyte,Human A23,Human STG,5.642478203605887,10.29,0.5483,Weak
Astrocyte,Human A23,Human STH,24.73485477778568,21.78,1.1356,None
Astrocyte,Human A23,Human SpC,17.165320782908065,24.14,0.7111,Weak
Astrocyte,Human A23,Human Sub,15.040121544562217,15.14,0.9937,None
Astrocyte,Human A23,Human TF,3.721142755051887,5.59,0.6661,Weak
Astrocyte,Human A23,Human TH-TL,5.527967941342474,7.61,0.7265,Weak
Astrocyte,Human A23,Human V1C,5.0972863576875,7.42,0.687,Weak
Astrocyte,Human A23,Human V2,3.4752066582425605,5.61,0.6193,Weak
Astrocyte,Human A23,Human VA,18.303879818437505,18.6,0.984,None
Astrocyte,Human A23,Human VLN,26.502729322550998,22.71,1.1668,None
Astrocyte,Human A23,Human VPL,8.380068918275873,11.85,0.7069,Weak
Astrocyte,Human A24,Human A25,3.3126041486183047,8.26,0.4011,Moderate
Astrocyte,Human A24,Human A29-A30,3.9706827256694646,5.36,0.7407,Weak
Astrocyte,Human A24,Human A32,8.408774310008758,8.83,0.9527,None
Astrocyte,Human A24,Human A35-36,2.390317879108691,5.6,0.4268,Moderate
Astrocyte,Human A24,Human A35-A36,8.419428595315813,11.61,0.7255,Weak
Astrocyte,Human A24,Human A35r,7.281465609455596,15.81,0.4606,Moderate
Astrocyte,Human A24,Human A38,11.890280564889093,14.34,0.8293,None
Astrocyte,Human A24,Human A40,7.868978952254546,9.52,0.8268,None
Astrocyte,Human A24,Human A43,8.977120874582885,8.77,1.0232,None
Astrocyte,Human A24,Human A44-A45,7.650633006061629,9.77,0.7833,None
Astrocyte,Human A24,Human A46,7.957755759151606,10.1,0.7878,None
Astrocyte,Human A24,Human ANC,17.594990506665873,15.83,1.1114,None
Astrocyte,Human A24,Human AON,4.929326848587606,9.35,0.5273,Weak
Astrocyte,Human A24,Human BL,5.830979815955968,7.52,0.7749,None
Astrocyte,Human A24,Human BM,5.468303904660502,9.66,0.5658,Weak
Astrocyte,Human A24,Human BNST,15.329646493975742,13.52,1.1334,None
Astrocyte,Human A24,Human CA1-3,6.917507020655431,10.16,0.6812,Weak
Astrocyte,Human A24,Human CA1C-CA3C,14.70477098233156,14.18,1.0367,None
Astrocyte,Human A24,Human CA1R-CA2R,6.937108003050607,8.58,0.8085,None
Astrocyte,Human A24,Human CA1R-CA2R-CA3R,6.099092124296946,8.64,0.7059,Weak
Astrocyte,Human A24,Human CA1U,9.561345847180233,12.81,0.7466,Weak
Astrocyte,Human A24,Human CA1U-CA2U-CA3U,7.030488420559414,8.63,0.8149,None
Astrocyte,Human A24,Human CA2U-CA3U,9.16697412378513,16.48,0.5563,Weak
Astrocyte,Human A24,Human CA3R,7.891693008963501,9.73,0.811,None
