ct,organ_i,organ_j,omega,js_raw,spearman,cosine,marker_jaccard
"cd8-positive, alpha-beta t cell",Kidney,Bone_Marrow,13.071026564373724,0.00088196878525435,0.18653317850423812,0.045916974544525146,0.36734693877551017
"cd8-positive, alpha-beta t cell",Kidney,Spleen,6.295839795769719,0.004500665485567916,0.203095017949402,0.13449102640151978,0.5915492957746479
"cd8-positive, alpha-beta t cell",Kidney,Lung,10.429994839113728,0.0008762229366753511,0.18127208759419855,0.03979676961898804,0.34024896265560167
nk cell,Kidney,Bone_Marrow,13.828135233299793,0.0011130227463865656,0.19492905725314558,0.05920690298080444,0.44357976653696496
nk cell,Kidney,Spleen,17.852692546168104,0.0015323773129819148,0.20867094036068168,0.06124621629714966,0.4790874524714829
nk cell,Kidney,Lung,12.406028105053704,0.0009989254624708308,0.20181655921001707,0.050239503383636475,0.3870967741935484
endothelial cell,Kidney,Spleen,25.38043077266605,0.004150058280207561,0.22049293696720784,0.17966163158416748,0.8439306358381503
smooth muscle cell,Heart,Lung,12.220701350536986,0.0045268726056155745,0.2552204647521795,0.17463892698287964,0.5915492957746479
macrophage,Heart,Bone_Marrow,4.504138566437946,0.0037844238807087636,0.2749758855217517,0.1391313076019287,0.44357976653696496
macrophage,Heart,Spleen,9.036519509092898,0.004218127793365705,0.30106296766730356,0.14733219146728516,0.6062717770034843
macrophage,Heart,Lung,5.7443360481214665,0.0061355671689646354,0.3197500133687988,0.16867035627365112,0.6754966887417219
"cd4-positive, alpha-beta t cell",Bone_Marrow,Lung,16.71048331825477,0.001189822612579112,0.1735365637525782,0.056535422801971436,0.3539094650205762
"cd8-positive, alpha-beta t cell",Bone_Marrow,Spleen,6.164804905125986,0.004433422373947896,0.20975944494741738,0.13851100206375122,0.5347985347985348
"cd8-positive, alpha-beta t cell",Bone_Marrow,Lung,17.390792996474737,0.0006074323900784062,0.20837562263642206,0.03132277727127075,0.24561403508771928
plasma cell,Bone_Marrow,Spleen,12.52607828414282,0.003520431190760537,0.26492028320804795,0.12465846538543701,0.5611510791366907
plasma cell,Bone_Marrow,Lung,11.608962219492453,0.0026439424618092734,0.29881152455811577,0.10074460506439209,0.5507246376811594
nk cell,Bone_Marrow,Spleen,20.631768970586446,0.002430716971875674,0.24962935638608363,0.10221081972122192,0.5239852398523985
nk cell,Bone_Marrow,Lung,15.015969012003982,0.0012953196568269386,0.24659700442753452,0.06680470705032349,0.36734693877551017
hematopoietic stem cell,Bone_Marrow,Spleen,11.121931829605591,0.003263762195925136,0.22138276300680526,0.12238234281539917,0.4126984126984127
memory b cell,Bone_Marrow,Spleen,22.361170863795177,0.0007483062329785749,0.15978779587906888,0.03004753589630127,0.27586206896551724
macrophage,Bone_Marrow,Spleen,15.472381254914286,0.004629900284537627,0.2176132718623799,0.15405750274658203,0.5611510791366907
macrophage,Bone_Marrow,Lung,18.0296361461851,0.006197350052178498,0.25971115117351895,0.18035131692886353,0.6622073578595318
naive b cell,Bone_Marrow,Spleen,21.06258965220729,0.0016836704184339916,0.23465476094518756,0.07664632797241211,0.3122362869198312
neutrophil,Bone_Marrow,Spleen,21.993095490547045,0.004257575699712946,0.2795502629958373,0.10328620672225952,0.6666666666666667
neutrophil,Bone_Marrow,Lung,18.87151174502739,0.005238829534373975,0.2617704510414791,0.13155710697174072,0.6842105263157895
erythrocyte,Bone_Marrow,Spleen,10.427989328582608,0.0029268557026545165,0.32679245038084315,0.09060925245285034,0.34024896265560167
neutrophil,Spleen,Lung,24.505604984357657,0.0011066427970941267,0.2886459622155657,0.03216695785522461,0.33333333333333337
classical monocyte,Spleen,Lung,17.504736160351495,0.001624290114827035,0.14963627719121808,0.052118659019470215,0.360655737704918
plasma cell,Spleen,Lung,11.28210167805341,0.003719137873778929,0.26504173217669236,0.1320629119873047,0.39357429718875503
nk cell,Spleen,Lung,17.957216364605266,0.0015013432001956695,0.20311218293202382,0.06494402885437012,0.40637450199203184
macrophage,Spleen,Lung,30.645184531847313,0.005054356662483258,0.1527438818082908,0.137165367603302,0.6531986531986532
intermediate monocyte,Spleen,Lung,21.781299252897718,0.006916620436311199,0.23259878699478753,0.22936314344406128,0.7538940809968847
"cd8-positive, alpha-beta t cell",Spleen,Lung,6.255367325151624,0.003543375487215789,0.17748403044530725,0.10425388813018799,0.5294117647058824
