cell_type,region_a,region_b,omega,omega_global_kn,kn,kf
Astrocyte,Human A1C,Human A5-A7,3.2394297774387697,0.766708097298308,0.0033282871304184,0.0107817524381437
Astrocyte,Human A1C,Human A13,3.470446807279192,0.704104528828861,0.0028530609611056,0.0099013963034421
Astrocyte,Human A1C,Human A14,5.054379920088379,1.6182308550879807,0.0045022737763206,0.0227562021697755
Astrocyte,Human A1C,Human A19,3.643571442549054,0.9377502573018814,0.0036192552099031,0.0131870149260999
Astrocyte,Human A1C,Human A23,4.609059798660232,1.0555945660873989,0.0032206542859119,0.0148441881945795
Astrocyte,Human A1C,Human A24,6.799968372668818,1.3463745334635122,0.0027843145790173,0.0189332510768787
Astrocyte,Human A1C,Human A25,5.90455131707839,1.3843376233099947,0.0032969656816205,0.0194671030577748
Astrocyte,Human A1C,Human A29-A30,2.3626330240928963,1.0509242879702527,0.0062551029915597,0.0147785128969613
Astrocyte,Human A1C,Human A32,7.677778157173635,1.796253656259629,0.0032899660132197,0.0252596291941425
Astrocyte,Human A1C,Human A35-36,2.3727920938331084,4.069283229290597,0.0241166809375172,0.0572238698580365
Astrocyte,Human A1C,Human A35-A36,5.248779383745946,1.7949886662831602,0.0048090877058111,0.0252418404048874
Astrocyte,Human A1C,Human A35r,5.582010150511895,3.2003123483231306,0.008062338925479,0.0450040577188912
Astrocyte,Human A1C,Human A38,5.187435636305563,1.560396170116449,0.0042300106447537,0.0219429079605473
Astrocyte,Human A1C,Human A40,4.9671346967031775,1.4788529405986155,0.0041867628105214,0.0207962148230077
Astrocyte,Human A1C,Human A43,6.75527065273486,0.924962254513969,0.0019254868743062,0.0130071849742272
Astrocyte,Human A1C,Human A44-A45,4.923909106808127,0.7604679850944841,0.0021718519332666,0.0106940015128503
Astrocyte,Human A1C,Human A46,4.399949178563577,1.0356614878030728,0.0033100112693811,0.0145638813657498
Astrocyte,Human A1C,Human ANC,18.103987823670387,8.283273746214531,0.0064340891051114,0.1164826708153475
Astrocyte,Human A1C,Human AON,7.058958689083035,1.319431863017987,0.002628485787857,0.018554372591325
Astrocyte,Human A1C,Human BL,5.7022171806668895,3.4666886348405264,0.0085492966764692,0.048749946391181
Astrocyte,Human A1C,Human BM,5.593749900708356,2.980170525824923,0.0074919932255994,0.0419083363618048
Astrocyte,Human A1C,Human BNST,12.660245815066236,5.670969149149655,0.0062990412485888,0.0797474106063767
Astrocyte,Human A1C,Human CA1-3,6.4647943467183575,3.1115701289852424,0.0067683714582611,0.0437561295398566
Astrocyte,Human A1C,Human CA1C-CA3C,13.956027170987207,3.1911319806438647,0.0032154537397109,0.0448749597584578
Astrocyte,Human A1C,Human CA1R-CA2R,7.530985267660069,2.5101453452559768,0.0046871232859143,0.035298656413927
