dataset,n_pairs,spearman_omega_kf_observed,spearman_omega_kn_observed,spearman_kf_kn_observed,kn_permutation_floor_mean,kn_permutation_floor_ci_lo,kn_permutation_floor_ci_hi,residual_above_floor,B,seed,note
Tabula Sapiens human pairs (phase33 inventory),5151,0.0895,-0.7225,0.537,0.5241,0.5058,0.5412,-0.4346,1000,42,"floor = corr(k_f/k_n_perm, k_f) with k_n shuffled; any omega-k_f correlation at/below the floor is mathematically forced by the shared k_f numerator, not evidence of biological coupling"
Mouse full matrix (Tabula Muris),703,0.8206,-0.1983,0.3376,0.8565,0.8425,0.8695,-0.0359,1000,42,"floor = corr(k_f/k_n_perm, k_f) with k_n shuffled; any omega-k_f correlation at/below the floor is mathematically forced by the shared k_f numerator, not evidence of biological coupling"
