pair_type,cancer,omega,kn,kf
TT,TCGA-LUSC,169.59345693514322,0.004086440079589365,0.6930334996558822
TT,TCGA-LUSC,50.702564708815316,0.013660621545550714,0.6926285478759218
TT,TCGA-LUSC,99.71480423356869,0.006950385358008397,0.6930563153216696
TT,TCGA-LUSC,538.7837137266339,0.0012863453602037062,0.6930619303055774
TT,TCGA-LUSC,81.11076800807672,0.008543318871292768,0.6929551549884516
TT,TCGA-LUSC,87.76405963728394,0.007896624091990448,0.6930397877426627
TT,TCGA-LUSC,1184.7810662860993,0.000584924855496623,0.6930078939925315
TT,TCGA-LUSC,135.6556857351549,0.0051089622404995785,0.6930597761299836
TT,TCGA-LUSC,41.10650312454182,0.01685176149463303,0.692716986533166
TT,TCGA-LUSC,31.66960793470693,0.021880921698765085,0.6929602114499118
TT,TCGA-LUSC,109.1451364349838,0.006350172597913361,0.6930904545849492
TT,TCGA-LUSC,78.17209686820735,0.00886491722070325,0.6929891677054539
TT,TCGA-LUSC,71.21970531317479,0.00973047369318281,0.6930014689860793
TT,TCGA-LUSC,86.39423393859911,0.008022060932813168,0.6930598088991574
TT,TCGA-LUSC,74.77394227526592,0.009266831672620563,0.6929175365631359
TT,TCGA-LUSC,626.5897030468835,0.0011059749411433375,0.6929925099482983
TT,TCGA-LUSC,101.78219823380583,0.006808767015853481,0.6930112741353975
TT,TCGA-LUSC,91.68321386369585,0.007558721020798614,0.6930078358858928
TT,TCGA-LUSC,22.648320677666554,0.03060094517953456,0.6930600194657932
TT,TCGA-LUSC,55.01955164780415,0.012596514405674181,0.6930545749252996
TT,TCGA-LUSC,82.6940195721816,0.00838004862578309,0.6929799050763403
TT,TCGA-LUSC,1023.1469978901268,0.0006772891181368856,0.6929663279254059
TT,TCGA-LUSC,403.7675743573594,0.0017165772960180492,0.6930982510101227
TT,TCGA-LUSC,169.3470660346956,0.004091563862592131,0.6928943356235637
TT,TCGA-LUSC,46.232826213502776,0.014988679383398582,0.6929690091025785
TT,TCGA-LUSC,49.51713143243264,0.013995772417372652,0.6930305022894572
TT,TCGA-LUSC,186.83652361562415,0.003709465137172778,0.6930635707027162
TT,TCGA-LUSC,107.4902223139679,0.006447314409571666,0.6930232592129071
TT,TCGA-LUSC,105.92004056868682,0.006540889841272425,0.6928113173428867
TT,TCGA-LUSC,55.46859966221782,0.01249440246153762,0.6930470081576592
TT,TCGA-LUSC,28.981008126765737,0.02391442975417437,0.6930642830526957
TT,TCGA-LUSC,88.39987017206447,0.00783801992819333,0.6928799440583444
TT,TCGA-LUSC,11.454772893926261,0.06050029604041857,0.693017151158301
TT,TCGA-LUSC,59.73097981982519,0.01160280527204749,0.6930469275580299
TT,TCGA-LUSC,565.0409371155989,0.0012264567498966698,0.6929982712933661
TT,TCGA-LUSC,38.99698897063134,0.017769609145813884,0.6929612518717339
TT,TCGA-LUSC,68.5289371302357,0.010112068024210906,0.6929692738878159
TT,TCGA-LUSC,113.0322966969929,0.006129204052559343,0.6927980109852989
TT,TCGA-LUSC,102.94604234645657,0.006732499696235468,0.6930841988261625
TT,TCGA-LUSC,975.4314607141856,0.0007105371844940819,0.6930803237628071
TT,TCGA-LUSC,82.56246080471756,0.008391738973689224,0.6928426200986373
TT,TCGA-LUSC,134.75019723440423,0.00514317938945581,0.6930444371410931
TT,TCGA-LUSC,82.01658571629817,0.008450338845303619,0.6930679402376083
TT,TCGA-LUSC,692.501410145715,0.0010007283419482239,0.6930057879719282
TT,TCGA-LUSC,94.00263403943664,0.007372122065114261,0.6929988925809918
TT,TCGA-LUSC,48.33095572062755,0.014339221332979334,0.6930282713125021
TT,TCGA-LUSC,195.63942925165622,0.003542333074526528,0.6930200209196345
TT,TCGA-LUSC,62.111568742384314,0.011157616684361861,0.6930170756919158
TT,TCGA-LUSC,117.75379962122842,0.005885703491411489,0.693063949557633
TT,TCGA-LUSC,88.39661197008236,0.007840303310874569,0.6930562494991312
TT,TCGA-LUSC,75.04472038029812,0.009235639109730893,0.6930859545231003
TT,TCGA-LUSC,949.0408414651245,0.0007301210924210528,0.6929147359227119
TT,TCGA-LUSC,93.50246597323951,0.007411702198320195,0.6930124326022186
TT,TCGA-LUSC,67.57545597141385,0.010255886322334592,0.6930461946227466
TT,TCGA-LUSC,56.069153078622826,0.012360119304441523,0.6930214213507728
TT,TCGA-LUSC,62.09976254423247,0.011159949982841724,0.6930302439399822
TT,TCGA-LUSC,95.686292584548,0.007241467935538318,0.6929092196215423
TT,TCGA-LUSC,54.10787468607166,0.01280681731908722,0.6929496666285835
TT,TCGA-LUSC,61.30053843980759,0.011299250885906269,0.6926501632725272
TT,TCGA-LUSC,597.370600872438,0.0011601424414263623,0.6930349873324833
TT,TCGA-LUSC,677.3091314299294,0.0010231732647700384,0.6930045952637199
TT,TCGA-LUSC,633.966518787262,0.0010929361585295255,0.6928849316796863
TT,TCGA-LUSC,122.48539933521688,0.0056582396192395214,0.6930517392968983
TT,TCGA-LUSC,104.9443210585895,0.006603222309591218,0.6929706820789816
TT,TCGA-LUSC,328.35059118377444,0.0021107970829375025,0.6930814700515155
TT,TCGA-LUSC,82.72402841860459,0.00837709675566477,0.6929871900810127
TT,TCGA-LUSC,53.64349287458704,0.012918764392876817,0.6930076456577563
TT,TCGA-LUSC,78.13255682215339,0.008869938546396694,0.6930309774853484
TT,TCGA-LUSC,28.58182137656332,0.02424601911105299,0.6929953873248571
TT,TCGA-LUSC,151.33541146931452,0.004579508801338492,0.693041848777908
TT,TCGA-LUSC,64.0699575677189,0.010817514237774686,0.6930776782024192
TT,TCGA-LUSC,97.35085102255253,0.007119205114478968,0.693060676498636
TT,TCGA-LUSC,45.346766809102725,0.015283630167655545,0.6930632132092436
TT,TCGA-LUSC,936.308058327691,0.0007400649615010631,0.6929287871394179
TT,TCGA-LUSC,652.5866051334748,0.0010617274594602,0.692869118346121
TT,TCGA-LUSC,88.10380624927178,0.007866522462647041,0.6930705709045992
TT,TCGA-LUSC,680.2271658355965,0.0010187939091774502,0.693011293410345
TT,TCGA-LUSC,505.5613235656467,0.0013707669669898964,0.6930067621314792
TT,TCGA-LUSC,73.23833207064004,0.009461874282707897,0.69297189072761
TT,TCGA-LUSC,74.2124984632728,0.009334971013655846,0.6927715220056305
TT,TCGA-LUSC,53.97630276569251,0.012839705306436813,0.6930398210425022
TT,TCGA-LUSC,491.244420756381,0.0014106340458275577,0.6929661047417888
TT,TCGA-LUSC,51.21122266775319,0.013533722502459936,0.6930784765970577
TT,TCGA-LUSC,532.4549286376077,0.001301421996444997,0.6929485562445339
TT,TCGA-LUSC,1025.0867982874547,0.0006760302129278626,0.692989646515809
TT,TCGA-LUSC,197.82549268623785,0.003503309971062238,0.6930440210579969
TT,TCGA-LUSC,135.36916261649745,0.005119114360740245,0.6929702243514936
TT,TCGA-LUSC,101.01410851089116,0.006860497497603346,0.6930070386616016
TT,TCGA-LUSC,92.17771184610102,0.007519031525594751,0.6930871213280223
TT,TCGA-LUSC,208.14295805443373,0.0033294362337823744,0.6929987063530766
TT,TCGA-LUSC,103.11068382096137,0.00672120008383067,0.6930275367412833
TT,TCGA-LUSC,100.4854313095221,0.0068963360971183146,0.6929813071743601
TT,TCGA-LUSC,85.5425922621528,0.008099931470018185,0.6928891350911455
TT,TCGA-LUSC,37.03522816138626,0.01871318497946569,0.6930470753407381
TT,TCGA-LUSC,727.0216762802188,0.0009532825640958474,0.693057087717668
TT,TCGA-LUSC,41.845403885296086,0.016551840604310468,0.6926184551324148
TT,TCGA-LUSC,1035.6249438962393,0.0006691072178927052,0.6929441249907016
TT,TCGA-LUSC,764.8518405357099,0.0009061200525147052,0.6930475899121864
TT,TCGA-LUSC,43.13909251971987,0.016064186204778057,0.6929944149419281
TT,TCGA-LUSC,132.5902672576159,0.005226944383096237,0.6930419526954243
TT,TCGA-LUSC,783.1491218143778,0.0008849442976126723,0.6930433495300057
TT,TCGA-LUSC,86.05769689826582,0.008052510280701388,0.6929804890067695
TT,TCGA-LUSC,135.17118227558524,0.005127145197794182,0.6930422780844289
TT,TCGA-LUSC,49.679021310258996,0.013948634306283184,0.692954500950852
TT,TCGA-LUSC,161.86545769032497,0.004281805119054682,0.6930763453365626
TT,TCGA-LUSC,553.8294959072904,0.0012514098896556284,0.6930677083613745
TT,TCGA-LUSC,88.80943672946196,0.007804241899127706,0.6930903271619981
TT,TCGA-LUSC,961.7412412265661,0.000720570910912039,0.6930027622523017
TT,TCGA-LUSC,75.55189122784894,0.009173287996721671,0.693059256930048
TT,TCGA-LUSC,38.75418214696434,0.017884361439244885,0.6930938007986416
