sample,cancer,type,stromal_score,immune_score,admix
TCGA-55-7911-01,TCGA-LUAD,Tumor,8224.178711584704,17684.176128168936,25908.35483975364
TCGA-ED-A627-01,TCGA-LIHC,Tumor,11668.098366791568,17257.157921841823,28925.25628863339
TCGA-N6-A4VC-01,TCGA-LUAD,Tumor,2588.133138779798,6613.18684596735,9201.319984747148
TCGA-39-5028-01,TCGA-LUSC,Tumor,11056.977780654492,15742.532034496198,26799.50981515069
TCGA-C8-A3M8-01,TCGA-BRCA,Tumor,10844.550042423736,11388.138677082872,22232.68871950661
TCGA-BH-A0BM-01,TCGA-BRCA,Tumor,11549.27983767819,12018.17959242254,23567.45943010073
TCGA-AY-A69D-01,TCGA-KIRC,Tumor,4582.61827217889,11552.061506682967,16134.679778861857
TCGA-AN-A0XW-01,TCGA-BRCA,Tumor,15584.841281745688,17043.904931425506,32628.746213171195
TCGA-55-A4DG-01,TCGA-LUAD,Tumor,8943.517604796481,15928.94654327432,24872.4641480708
TCGA-DD-AAVV-01,TCGA-LIHC,Tumor,7013.725839926716,15732.749950400099,22746.475790326815
TCGA-37-4133-01,TCGA-LUSC,Tumor,6431.944391834939,14521.880895527847,20953.825287362786
TCGA-77-8146-01,TCGA-LUSC,Tumor,9298.920284175732,14030.46811887652,23329.388403052253
TCGA-CJ-5672-01,TCGA-KIRC,Tumor,10508.946301254979,18290.88944078054,28799.835742035517
TCGA-73-4662-01,TCGA-LUAD,Tumor,12292.35540258932,17156.38111292313,29448.73651551245
TCGA-E2-A1LL-01,TCGA-BRCA,Tumor,7746.521323733228,10090.241087848797,17836.762411582025
TCGA-B0-4700-11,TCGA-KIRC,Normal,7490.301862845383,7850.4995419924635,15340.801404837846
TCGA-BH-A18K-01,TCGA-BRCA,Tumor,12218.3886183369,11815.277825540634,24033.666443877533
TCGA-BH-A28O-01,TCGA-BRCA,Tumor,13097.346224146491,14212.020042578519,27309.36626672501
TCGA-55-6712-01,TCGA-LUAD,Tumor,11733.040733825157,17776.213089587956,29509.253823413113
TCGA-97-7553-01,TCGA-LUAD,Tumor,13414.730389046086,18969.1506950317,32383.881084077788
TCGA-34-7107-11,TCGA-LUSC,Normal,15621.561446881675,19093.280006528887,34714.84145341056
TCGA-77-7142-01,TCGA-LUSC,Tumor,10325.900386527403,14217.362839055724,24543.263225583127
TCGA-60-2719-01,TCGA-LUSC,Tumor,7247.521206944828,14217.266796775508,21464.788003720336
TCGA-A7-A4SC-01,TCGA-BRCA,Tumor,13617.151944526911,14429.157409661351,28046.309354188263
TCGA-A7-A13F-11,TCGA-BRCA,Normal,13149.835108845382,13767.792482485256,26917.627591330638
TCGA-IG-A3Y9-01,TCGA-LUSC,Tumor,12412.781750615952,13138.70131858328,25551.483069199232
TCGA-E9-A24A-01,TCGA-BRCA,Tumor,13670.711522794136,14645.82523670758,28316.536759501716
TCGA-49-AARE-01,TCGA-LUAD,Tumor,8766.74645237636,14331.745637671713,23098.492090048072
TCGA-BC-4073-01,TCGA-LIHC,Tumor,8053.191438706486,16965.733629572507,25018.925068278993
TCGA-B6-A400-01,TCGA-BRCA,Tumor,11753.522639361629,14315.443349885387,26068.965989247015
TCGA-A8-A096-01,TCGA-BRCA,Tumor,14893.119879778296,16787.4009008185,31680.520780596795
TCGA-B0-5075-01,TCGA-KIRC,Tumor,8486.92904752725,17079.234262059104,25566.163309586354
TCGA-AY-A8YK-01,TCGA-KIRC,Tumor,3164.7496464688375,10724.717733685855,13889.467380154692
TCGA-50-8460-01,TCGA-LUAD,Tumor,9687.279694155088,16951.608300137752,26638.88799429284
TCGA-KL-8324-11,TCGA-KIRC,Normal,10181.3033979797,12547.493498544365,22728.796896524065
TCGA-V5-AASX-11,TCGA-KIRC,Normal,-2645.8403207037736,6697.166927212678,4051.3266065089047
TCGA-50-5933-01,TCGA-LUAD,Tumor,14468.765957446802,16741.524704968568,31210.29066241537
TCGA-IE-A4EH-01,TCGA-LUSC,Tumor,8076.953010256271,7875.666176530594,15952.619186786866
TCGA-43-3394-01,TCGA-LUSC,Tumor,8835.50561076817,12815.0174915258,21650.52310229397
TCGA-E2-A1LH-01,TCGA-BRCA,Tumor,10817.732903514483,17309.123909681755,28126.85681319624
TCGA-18-3409-01,TCGA-LUSC,Tumor,14729.271749729483,15412.039876907835,30141.311626637318
TCGA-CJ-4899-01,TCGA-KIRC,Tumor,13910.251641017774,16293.94277931072,30204.194420328495
TCGA-CW-5590-01,TCGA-KIRC,Tumor,11686.232572144978,16782.516973013433,28468.74954515841
TCGA-B6-A0RH-01,TCGA-BRCA,Tumor,10632.317945874904,10544.037304748785,21176.35525062369
TCGA-A8-A07W-01,TCGA-BRCA,Tumor,11347.559035130795,13604.545505968166,24952.10454109896
TCGA-44-6774-01,TCGA-LUAD,Tumor,15997.773286974432,16404.74355658679,32402.51684356122
TCGA-38-4627-11,TCGA-LUAD,Normal,13428.638734069991,18379.7641211954,31808.40285526539
TCGA-CZ-4860-01,TCGA-KIRC,Tumor,10657.794049982618,15183.864761843117,25841.658811825735
TCGA-HU-A4GQ-01,TCGA-LIHC,Tumor,9720.866035258838,13420.364869485438,23141.230904744276
TCGA-73-4670-01,TCGA-LUAD,Tumor,9357.972058022726,12571.030971440308,21929.003029463034
TCGA-MT-A7BN-01,TCGA-LUAD,Tumor,6659.404525480273,14653.65446110594,21313.058986586213
TCGA-B0-5700-01,TCGA-KIRC,Tumor,8620.88668569989,15612.021247046865,24232.907932746755
TCGA-B0-4847-01,TCGA-KIRC,Tumor,6396.70398923858,18057.61697062138,24454.32095985996
TCGA-56-A4BW-01,TCGA-LUSC,Tumor,10433.549554163783,14259.052302912529,24692.60185707631
TCGA-56-8308-01,TCGA-LUSC,Tumor,10631.980019333405,14306.429604031026,24938.40962336443
TCGA-BH-A0HA-11,TCGA-BRCA,Normal,7797.55534574292,12809.144683946655,20606.700029689575
TCGA-85-8353-01,TCGA-LUSC,Tumor,13805.320114199352,16244.171535429796,30049.491649629148
TCGA-HP-A5N0-01,TCGA-LIHC,Tumor,7111.536009523177,11756.798748253448,18868.334757776625
TCGA-A7-A0CE-11,TCGA-BRCA,Normal,12941.416246533281,15076.27250815056,28017.68875468384
TCGA-55-A48Z-01,TCGA-LUAD,Tumor,12411.981398280815,15721.30669056842,28133.288088849236
TCGA-BH-A0HK-11,TCGA-BRCA,Normal,12525.45713091698,13753.528425312408,26278.98555622939
TCGA-B6-A0X7-01,TCGA-BRCA,Tumor,12333.504183979723,11212.978900697493,23546.483084677217
TCGA-EW-A1P0-01,TCGA-BRCA,Tumor,10706.651113640739,12868.477470391324,23575.128584032063
TCGA-22-4604-01,TCGA-LUSC,Tumor,13624.244844776953,16672.416948670787,30296.66179344774
TCGA-77-7337-11,TCGA-LUSC,Normal,13293.653087786883,19037.61461233989,32331.267700126773
TCGA-CZ-5987-11,TCGA-KIRC,Normal,13267.067161774448,15327.771668821853,28594.8388305963
TCGA-KL-8345-01,TCGA-KIRC,Tumor,3580.5309060106592,3820.6401636726114,7401.171069683271
TCGA-BP-4998-01,TCGA-KIRC,Tumor,14829.458076480925,17623.039881129098,32452.497957610023
TCGA-EW-A1PC-01,TCGA-BRCA,Tumor,8160.566707988182,9568.390022611919,17728.9567306001
TCGA-CJ-5675-01,TCGA-KIRC,Tumor,8959.481966041305,18357.268884895875,27316.75085093718
TCGA-A7-A0CH-01,TCGA-BRCA,Tumor,11376.48198996182,11175.241398815506,22551.723388777325
TCGA-E9-A2JS-01,TCGA-BRCA,Tumor,10607.862735634673,11753.59022466993,22361.452960304603
TCGA-A2-A1G6-01,TCGA-BRCA,Tumor,12537.796785364018,14250.266212833496,26788.062998197514
TCGA-75-7031-01,TCGA-LUAD,Tumor,7070.2449432731955,16054.342190021762,23124.587133294957
TCGA-44-A47A-01,TCGA-LUAD,Tumor,9602.933229396342,16535.496228297405,26138.429457693746
TCGA-B6-A0WV-01,TCGA-BRCA,Tumor,6380.423044181192,6542.425028176956,12922.848072358149
TCGA-HE-7129-01,TCGA-KIRC,Tumor,274.95837689446853,7090.609463800516,7365.567840694985
TCGA-05-4398-01,TCGA-LUAD,Tumor,11721.618816722406,17035.84449413032,28757.463310852727
TCGA-UL-AAZ6-01,TCGA-BRCA,Tumor,5306.7521651584975,9589.853693679492,14896.60585883799
TCGA-B6-A0RG-01,TCGA-BRCA,Tumor,8995.401778842159,8606.483900788953,17601.885679631112
TCGA-56-7579-01,TCGA-LUSC,Tumor,7503.840267234376,11734.80862320543,19238.648890439807
TCGA-67-3773-01,TCGA-LUAD,Tumor,10727.37134631701,16862.07199512584,27589.44334144285
TCGA-BH-A0B7-11,TCGA-BRCA,Normal,9728.830430273803,12703.825430885885,22432.65586115969
TCGA-77-8007-01,TCGA-LUSC,Tumor,12179.854321241273,17433.157178898724,29613.011500139997
TCGA-A7-A0DC-01,TCGA-BRCA,Tumor,5527.254569170393,4891.351517616051,10418.606086786443
TCGA-DD-A114-11,TCGA-LIHC,Normal,5501.1310689515885,17123.72318052813,22624.85424947972
TCGA-A2-A0CR-01,TCGA-BRCA,Tumor,12293.137969317013,17862.099787951654,30155.237757268667
TCGA-GM-A2DD-01,TCGA-BRCA,Tumor,13805.38058526468,17506.245354143244,31311.625939407924
TCGA-77-7463-01,TCGA-LUSC,Tumor,4625.307287174237,12281.559538868725,16906.866826042962
TCGA-BH-A6R9-01,TCGA-BRCA,Tumor,16220.722990571088,17174.259205529295,33394.98219610038
TCGA-DD-A1EG-11,TCGA-LIHC,Normal,2437.965697979558,12975.518370253008,15413.484068232567
TCGA-E2-A158-11,TCGA-BRCA,Normal,14117.93773630304,14462.779321979997,28580.717058283037
TCGA-39-5039-01,TCGA-LUSC,Tumor,11480.709206725322,14953.011134296812,26433.720341022134
