k_n,k_f,omega,raw_js,cosine,null_med_k_n,null_p95_k_n,exceed_k_n,cal_k_n,null_med_k_f,null_p95_k_f,exceed_k_f,cal_k_f,null_med_omega,null_p95_omega,exceed_omega,cal_omega,null_med_raw_js,null_p95_raw_js,exceed_raw_js,cal_raw_js,null_med_cosine,null_p95_cosine,exceed_cosine,cal_cosine,cell_type,comparison,donor,lane_a,lane_b,n_cells_a,n_cells_b
0.02016765550316238,0.15531533652063487,7.701209319857766,0.008793212960789512,0.09164313828558246,0.021759306450183098,0.023688130847062977,0,0.926851944906207,0.17292137460357532,0.18862531235635457,0,0.8981847205222457,7.960669193931958,9.142357030357246,0,0.9674072784896066,0.008593406048739047,0.009190875531731996,0,1.0232511894488896,0.08969664302320812,0.0926089584426201,0,1.0217008708104127,B cells,techrep_crosslane,1079,A,C,75,56
0.019827540800327087,0.14255439588033855,7.189716431096028,0.006699593923352188,0.07083120940628329,0.021717175541652374,0.023753411945753606,0,0.9129889272340656,0.15203804452863476,0.16867173487149423,0,0.9376231871588557,7.058187053502829,7.744809453402069,0,1.0186350087630398,0.007300325322213752,0.008325183263210916,0,0.9177116947057644,0.07418057123558319,0.07921439620434283,0,0.9548485301001124,B cells,techrep_crosslane,1085,B,C,80,70
0.016045233651356898,0.11595383175389153,7.22668390335878,0.004820300873158176,0.05224987573754758,0.015441578766779774,0.016604066130782393,0,1.0390928216404787,0.122480079580872,0.14013203677390537,0,0.9467158426961074,8.01858872789257,9.142906093954984,0,0.901241371592091,0.004858028192042317,0.0053599954297836655,0,0.9922340263595135,0.051934305563925365,0.05457897768565118,0,1.00607633374887,B cells,techrep_crosslane,1493,B,C,184,146
0.019901929256394196,0.1612433582550003,8.101895860331991,0.0068352809352403895,0.07226981044328529,0.018351748888376367,0.02109137071857715,0,1.0844704435226706,0.17615497406201852,0.1873701594026396,0,0.9153494479141513,9.522025278657146,11.012577819114446,0,0.8508584700454156,0.006798329003620515,0.007115439128810704,0,1.0054354432685142,0.07223682750412219,0.07395604580646659,0,1.0004565945142208,B cells,techrep_crosslane,1511,B,C,100,83
0.020023476061957923,0.13852249100100145,6.918004175317826,0.006670539252832274,0.07115491524508033,0.020705864603788968,0.02258234013895596,0,0.9670437069454142,0.16207308640191062,0.17226668603890627,0,0.8546915103318996,7.858256068321079,8.734920176965694,0,0.8803485296446774,0.006605085538220494,0.006902297955858968,0,1.0099095937869433,0.07100201173875126,0.07283932097710412,0,1.0021535094933884,B cells,techrep_crosslane,1598,A,C,116,91
0.006597620405441859,0.05612185752273557,8.506378675021232,0.002479258705136312,0.026838894214516684,0.00701465989152272,0.007957377058494888,0,0.9405474402850441,0.06059598769206068,0.06480874058261606,0,0.9261645805319333,8.577696439277979,9.623310247940488,0,0.9916856740312961,0.0024104313782318575,0.0025450907587249985,0,1.0285539457899615,0.02673632558228406,0.027429797526311434,0,1.0038363024835615,CD14+ Monocytes,techrep_crosslane,1043,B,C,248,185
0.012124201741464155,0.10624164399807265,8.762774347009719,0.0046374747855228065,0.044962099060960825,0.01201517344201658,0.013875065421559515,0,1.0090742176942955,0.1091886975958174,0.1175001447614465,0,0.9730095361275045,9.085174250595166,10.191855286175986,0,0.9645136246490454,0.004536483039675233,0.004748447904289384,0,1.0222621235358578,0.04360138407719627,0.045036789462841675,0,1.0312080685639569,CD14+ Monocytes,techrep_crosslane,1079,A,C,158,110
0.015112872537975575,0.12773591470952234,8.452126780567227,0.006277257992807819,0.060277814395689466,0.015377493889884398,0.01689805798845499,0,0.9827916464279726,0.1368419858965345,0.15254707666025005,0,0.9334555755870334,8.881270325910414,10.313532153889069,0,0.9516799365861892,0.006493550255759107,0.006867831327572142,0,0.9666912159862844,0.061051207180497835,0.0633076738477549,0,0.9873320640078118,CD14+ Monocytes,techrep_crosslane,1085,B,C,84,53
0.008116748463470783,0.07249995381778554,8.932142488346129,0.003008329657485354,0.027916894937001002,0.007434202184877657,0.008279957607109764,0,1.0918116378354,0.06891174913388058,0.07292746125050248,0,1.0520695633038404,9.297101333264942,10.242882016090382,0,0.9607448782328537,0.002610915741360497,0.0027277487331413357,1,1.1522124631711679,0.026481131119099055,0.02722932045216026,1,1.0542183719964449,CD14+ Monocytes,techrep_crosslane,1154,A,C,218,179
0.013682770995053651,0.08543850277301163,6.244239767215122,0.004667878835182707,0.04104051711196355,0.015414769247467836,0.016498927551379737,0,0.8876403386512777,0.08639645341005145,0.09470981770585808,0,0.9889121532281744,5.582935354236647,6.327711268847197,0,1.1184510245988502,0.0042374266772331175,0.004464453467056495,1,1.101583387923224,0.04011921878751623,0.04141591323626546,0,1.0229640145618686,CD14+ Monocytes,techrep_crosslane,1249,A,C,134,102
0.01409274096638836,0.18134759965787817,12.868156740438076,0.007422075315163669,0.06008993096175297,0.012886638171230171,0.013898867219853776,1,1.0935932846978549,0.1930203148841521,0.20467733585448153,0,0.939525975629665,15.003194241828124,16.58593078270479,0,0.8576944704589857,0.007301614654554989,0.0076280803865250105,0,1.0164978112798013,0.06061464986618187,0.06222530648445632,0,0.9913433649194161,CD14+ Monocytes,techrep_crosslane,1493,B,C,65,59
0.012688358086047576,0.10250661621433522,8.078792820881526,0.005102699068210046,0.05071415502510346,0.012712765249060332,0.01408358042020346,0,0.9980801058987099,0.11164397816779018,0.11902130125685585,0,0.9181562489673883,8.791389406334119,9.94671592754926,0,0.9189438037019299,0.005100092469398528,0.0053974627316428145,0,1.0005110885395034,0.050287820019913276,0.05165974259300989,0,1.0084778979287898,CD14+ Monocytes,techrep_crosslane,1511,B,C,115,72
