,Heart,Kidney,Liver,Lung,Marrow,Spleen
Heart,inf,19.462351361689652,26.410500939281714,34.01060823683803,22.738586690326613,18.821016458066527
Kidney,19.462351361689652,inf,27.580733168402574,18.758863964747174,15.484851354119895,13.791648998939465
Liver,26.410500939281714,27.580733168402574,inf,25.37850824469204,18.3098081586106,15.636060397608668
Lung,34.01060823683803,18.758863964747174,25.37850824469204,inf,22.053306048845403,19.708178470569987
Marrow,22.738586690326613,15.484851354119895,18.3098081586106,22.053306048845403,inf,26.29576081574788
Spleen,18.821016458066527,13.791648998939465,15.636060397608668,19.708178470569987,26.29576081574788,inf
