pair_type,cancer,organ,sample_a,sample_b,kn,kf,omega_floor,omega_raw
TT,TCGA-LUAD,Lung,TCGA-05-5715-01,TCGA-78-7535-01,0.003932034755601448,0.2840422577205026,72.237982463371,72.237982463371
TT,TCGA-LUAD,Lung,TCGA-55-A4DF-01,TCGA-86-8668-01,0.0027170933533157996,0.327513516482687,120.53819059363806,120.53819059363806
TT,TCGA-LUAD,Lung,TCGA-05-5429-01,TCGA-78-7542-01,0.003503795790983942,0.3728917933986709,106.42509313990436,106.42509313990436
TT,TCGA-LUAD,Lung,TCGA-05-4417-01,TCGA-44-6778-01,0.001349136036665644,0.2814318862337464,208.60156321174125,208.60156321174125
TT,TCGA-LUAD,Lung,TCGA-64-1678-01,TCGA-97-7554-01,0.011674534398451675,0.2432764506266902,20.838214383860528,20.838214383860528
TT,TCGA-LUAD,Lung,TCGA-73-7498-01,TCGA-MP-A5C7-01,0.0008854666161274873,0.22981262779761605,259.5384440383331,259.5384440383331
TT,TCGA-LUAD,Lung,TCGA-55-7727-01,TCGA-73-4675-01,0.004520523500809403,0.36056530203546083,79.76184660270019,79.76184660270019
TT,TCGA-LUAD,Lung,TCGA-55-1594-01,TCGA-TQ-A7RS-01,0.004087155884826039,0.34161066790157163,83.5815118209301,83.5815118209301
TT,TCGA-LUAD,Lung,TCGA-49-4501-01,TCGA-75-5146-01,0.0015951477814057974,0.24053755285539052,150.79327173273296,150.79327173273296
TT,TCGA-LUAD,Lung,TCGA-50-5935-01,TCGA-55-7913-01,0.001809061444884352,0.2597946547620644,143.6074244447083,143.6074244447083
TT,TCGA-LUAD,Lung,TCGA-50-5072-01,TCGA-TQ-A7RN-01,0.003929366166431898,0.21725290347336348,55.289554159988676,55.289554159988676
TT,TCGA-LUAD,Lung,TCGA-50-6592-01,TCGA-91-6847-01,0.002368272328706199,0.26015157482194556,109.84867393357077,109.84867393357077
TT,TCGA-LUAD,Lung,TCGA-49-AARN-01,TCGA-55-8619-01,0.0009732817892598213,0.2552555447028285,262.26273574578005,262.26273574578005
TT,TCGA-LUAD,Lung,TCGA-64-1680-01,TCGA-97-8174-01,0.003042434406630097,0.23830986922507558,78.32867939757348,78.32867939757348
TT,TCGA-LUAD,Lung,TCGA-44-A47B-01,TCGA-50-5068-01,0.009538729306130481,0.23959543376210674,25.118170992452868,25.118170992452868
TT,TCGA-LUAD,Lung,TCGA-44-3917-01,TCGA-55-7910-01,0.00918040247804857,0.09318023262333355,10.149907136003952,10.149907136003952
TT,TCGA-LUAD,Lung,TCGA-55-6986-01,TCGA-73-A9RS-01,0.0021126338518895594,0.3492377685094712,165.30917943831568,165.30917943831568
TT,TCGA-LUAD,Lung,TCGA-44-A47A-01,TCGA-86-8359-01,0.0017884293914757555,0.33928779899235967,189.71271698481206,189.71271698481206
TT,TCGA-LUAD,Lung,TCGA-05-4402-01,TCGA-97-A4M1-01,0.0019466311913636076,0.31540759941277086,162.02740447810714,162.02740447810714
TT,TCGA-LUAD,Lung,TCGA-49-AARE-01,TCGA-50-5045-01,0.0032001614241184153,0.3151989180166564,98.49469331175624,98.49469331175624
TT,TCGA-LUAD,Lung,TCGA-44-2661-01,TCGA-44-3918-01,0.0027725042374343173,0.25239624396974747,91.03547636172979,91.03547636172979
TT,TCGA-LUAD,Lung,TCGA-50-5072-01,TCGA-93-7347-01,0.001631328587894461,0.2740381570990055,167.98464707389437,167.98464707389437
TT,TCGA-LUAD,Lung,TCGA-78-7146-01,TCGA-J2-A4AE-01,0.002876150350264486,0.2984964165099245,103.78331455533096,103.78331455533096
TT,TCGA-LUAD,Lung,TCGA-78-7156-01,TCGA-TQ-A7RJ-01,0.0031802271928847133,0.46616092015157434,146.58101194610884,146.58101194610884
TT,TCGA-LUAD,Lung,TCGA-44-2661-01,TCGA-50-5936-01,0.0027225042839198834,0.29736730582415993,109.22565212496492,109.22565212496492
TT,TCGA-LUAD,Lung,TCGA-55-6970-01,TCGA-78-7536-01,0.001613637599737501,0.3317683652434752,205.6027730746022,205.6027730746022
TT,TCGA-LUAD,Lung,TCGA-78-7537-01,TCGA-KN-8433-01,0.00659005853515627,0.18444596884429354,27.98851753141822,27.98851753141822
TT,TCGA-LUAD,Lung,TCGA-55-6712-01,TCGA-55-8615-01,0.0025251423138329086,0.37514885289019606,148.56542969285496,148.56542969285496
TT,TCGA-LUAD,Lung,TCGA-49-AAR0-01,TCGA-49-AARN-01,0.0012838536804299714,0.2571409224889355,200.28834002549047,200.28834002549047
TT,TCGA-LUAD,Lung,TCGA-50-5944-01,TCGA-97-A4M3-01,0.0021471080654819224,0.31765932010616715,147.94752309538174,147.94752309538174
TT,TCGA-LUAD,Lung,TCGA-91-6847-01,TCGA-91-A4BD-01,0.004160976426359098,0.4045047383540342,97.21389811092502,97.21389811092502
TT,TCGA-LUAD,Lung,TCGA-93-A4JN-01,TCGA-MP-A4TF-01,0.0017423860147656625,0.20921231626912296,120.07231147184133,120.07231147184133
TT,TCGA-LUAD,Lung,TCGA-49-4490-01,TCGA-73-4659-01,0.0024949604000585237,0.3141831448222975,125.9271068249932,125.9271068249932
TT,TCGA-LUAD,Lung,TCGA-05-4418-01,TCGA-44-2668-01,0.003519947999907803,0.3103061650795625,88.15646284765862,88.15646284765862
TT,TCGA-LUAD,Lung,TCGA-49-4514-01,TCGA-50-5946-01,0.005736234958876572,0.34012011808151926,59.29326823602271,59.29326823602271
TT,TCGA-LUAD,Lung,TCGA-44-6777-01,TCGA-97-7554-01,0.0008429403520392349,0.25818117294867393,306.2864084322028,306.2864084322028
TT,TCGA-LUAD,Lung,TCGA-55-8513-01,TCGA-93-A4JO-01,0.0014023402697205083,0.22675050220391677,161.6943527187656,161.6943527187656
TT,TCGA-LUAD,Lung,TCGA-50-6591-01,TCGA-97-A4M3-01,0.0027369058639869466,0.3313543377384379,121.06895677286556,121.06895677286556
TT,TCGA-LUAD,Lung,TCGA-49-6761-01,TCGA-55-8091-01,0.0021099221099130806,0.2468657891028455,117.00232342369041,117.00232342369041
TT,TCGA-LUAD,Lung,TCGA-38-6178-01,TCGA-86-A456-01,0.0017144471972484075,0.284999763140926,166.23420283712136,166.23420283712136
TT,TCGA-LUAD,Lung,TCGA-55-8207-01,TCGA-73-4668-01,0.0013689537859991174,0.23249185276898562,169.831776022522,169.831776022522
TT,TCGA-LUAD,Lung,TCGA-50-6592-01,TCGA-55-6975-01,0.0015102670289273675,0.265080361636274,175.51886955020217,175.51886955020217
TT,TCGA-LUAD,Lung,TCGA-55-1592-01,TCGA-67-6216-01,0.0014781405615564157,0.2393455308292225,161.92339013902873,161.92339013902873
TT,TCGA-LUAD,Lung,TCGA-64-5775-01,TCGA-MP-A5C7-01,0.00311088839654286,0.33459777291087534,107.55698381295673,107.55698381295673
TT,TCGA-LUAD,Lung,TCGA-50-6595-01,TCGA-MP-A4TA-01,0.0018501747249845776,0.3133883515339597,169.38311139050504,169.38311139050504
TT,TCGA-LUAD,Lung,TCGA-38-4626-01,TCGA-49-AAR3-01,0.0020293842326628486,0.18926901233327986,93.26425685535719,93.26425685535719
TT,TCGA-LUAD,Lung,TCGA-35-3615-01,TCGA-78-7155-01,0.005399526062424919,0.4494038196738118,83.23023437208583,83.23023437208583
TT,TCGA-LUAD,Lung,TCGA-73-4659-01,TCGA-91-6829-01,0.0015780775296713868,0.31171112596184625,197.52586302065643,197.52586302065643
TT,TCGA-LUAD,Lung,TCGA-55-6982-01,TCGA-KN-8435-01,0.0039740978524543235,0.22991712955519972,57.85391756602256,57.85391756602256
TT,TCGA-LUAD,Lung,TCGA-64-1677-01,TCGA-97-7941-01,0.004637282184526779,0.17515391615149134,37.77081255394107,37.77081255394107
TT,TCGA-LUAD,Lung,TCGA-75-6203-01,TCGA-97-7547-01,0.0013419887063259041,0.32001651199937786,238.46438534905326,238.46438534905326
TT,TCGA-LUAD,Lung,TCGA-49-4510-01,TCGA-91-6830-01,0.00368076085948259,0.18820663631668472,51.13253577227541,51.13253577227541
TT,TCGA-LUAD,Lung,TCGA-05-4384-01,TCGA-97-7552-01,0.0008665886186353748,0.3245707449365259,374.5384349123238,374.5384349123238
TT,TCGA-LUAD,Lung,TCGA-75-5146-01,TCGA-MP-A4SW-01,0.0030211752285449556,0.2419246381802146,80.07633449872063,80.07633449872063
TT,TCGA-LUAD,Lung,TCGA-78-7150-01,TCGA-MP-A5C7-01,0.0026921024228962094,0.3929720873157483,145.97219034964584,145.97219034964584
TT,TCGA-LUAD,Lung,TCGA-44-A47A-01,TCGA-64-1679-01,0.0023034517283639974,0.33907928940388693,147.20486009260307,147.20486009260307
TT,TCGA-LUAD,Lung,TCGA-05-4433-01,TCGA-55-8508-01,0.0026023153818285297,0.35714473512396083,137.24114210669242,137.24114210669242
TT,TCGA-LUAD,Lung,TCGA-49-AARE-01,TCGA-50-5942-01,0.004090856897746281,0.3665593335659508,89.60453585357489,89.60453585357489
TT,TCGA-LUAD,Lung,TCGA-55-A494-01,TCGA-MP-A4TK-01,0.00189819416378894,0.26993466443655534,142.206034338313,142.206034338313
