pair_type,cancer,omega,kn,kf
TT,TCGA-BRCA,53.83889589701554,0.012871949578218918,0.6930115533333614
TT,TCGA-BRCA,958.9835509665347,0.0007226562573379326,0.6930154637901165
TT,TCGA-BRCA,92.32658049731832,0.007506997672999429,0.693095424949363
TT,TCGA-BRCA,94.75112425992795,0.007313458983533205,0.692958460918641
TT,TCGA-BRCA,151.89125732615486,0.0045624865794097165,0.6930018230802494
TT,TCGA-BRCA,496.1978320028679,0.0013967441113371518,0.6930613999082671
TT,TCGA-BRCA,47.045610786793524,0.014730298161971783,0.6929958741015445
TT,TCGA-BRCA,597.06545093854,0.0011607006900472504,0.6930142809077362
TT,TCGA-BRCA,135.54391989995992,0.005113166852179121,0.693058678246897
TT,TCGA-BRCA,103.55090584342626,0.006692898116529237,0.693055662684364
TT,TCGA-BRCA,128.0687258212065,0.0054109561239667455,0.6929742562708754
TT,TCGA-BRCA,160.60535065548513,0.004315442176151547,0.6930831039342891
TT,TCGA-BRCA,65.5364023883582,0.010574239057756483,0.6929975858398225
TT,TCGA-BRCA,995.149775143985,0.0006964015101799378,0.6930238062654968
TT,TCGA-BRCA,602.701590847152,0.0011498539809755904,0.6930188235759193
TT,TCGA-BRCA,72.19621023952911,0.009599336283275892,0.6930357004673262
TT,TCGA-BRCA,91.07599062960894,0.007609460751778822,0.6930391761253849
TT,TCGA-BRCA,114.75531642657214,0.0060393470102959,0.6930471771763784
TT,TCGA-BRCA,91.52260221662306,0.0075723974131342645,0.6930455162684728
TT,TCGA-BRCA,94.80840872235795,0.007310098930750739,0.6930588472274879
TT,TCGA-BRCA,846.2357784169424,0.0008188698439102375,0.69295695978354
TT,TCGA-BRCA,917.31125905824,0.0007553690848641146,0.6929085662903716
TT,TCGA-BRCA,75.48815610104006,0.009173819271400799,0.6925147012022331
TT,TCGA-BRCA,117.24652421314958,0.005906500377250085,0.6925166394962292
TT,TCGA-BRCA,235.92899159512427,0.002937254822973556,0.6929835684420663
TT,TCGA-BRCA,1009.4498166903112,0.000686467719998212,0.6929547141160111
TT,TCGA-BRCA,447.1010324404092,0.0015501049966129877,0.6930535443767039
TT,TCGA-BRCA,100.93220495172895,0.006866638778403142,0.6930649925112756
TT,TCGA-BRCA,1673.0697855651822,0.0004141761894620044,0.6929456684894
TT,TCGA-BRCA,104.23250439474754,0.0066488782459312,0.6930292309891651
TT,TCGA-BRCA,38.771099335679914,0.017873633011422863,0.6929804009753635
TT,TCGA-BRCA,49.46030606096909,0.01400903491070337,0.6928911543021895
TT,TCGA-BRCA,76.26736369346771,0.00908563824185096,0.6929376761785256
TT,TCGA-BRCA,1201.2922546966483,0.0005769072987211439,0.6930342696316758
TT,TCGA-BRCA,24.959746654736968,0.02775233392787441,0.6926912239174066
TT,TCGA-BRCA,59.00285128219841,0.011744674742849463,0.6929692972101387
TT,TCGA-BRCA,20.2323328655258,0.03425366714843116,0.6930315956119852
