Cancer,n_Tumor,n_Normal,n_Genes,n_HK,omega,kn,kf,p_value,cohens_d,null_mean,null_std,ci_95_lower,ci_95_upper,time_s,q_value
TCGA-LUAD,495,76,13524,1125,0.0000,0.000000,0.000000,3.1968e-02,-1.2391,0.0000,0.0000,0.0000,0.0000,144,1.5984e-01
TCGA-LUSC,567,58,13532,1125,0.0000,0.000000,0.000000,1.2288e-01,-0.8979,0.0000,0.0000,0.0000,0.0000,129,3.0720e-01
TCGA-LIHC,365,57,13621,1125,0.0000,0.000000,0.000000,3.0569e-01,-0.5823,0.0000,0.0000,0.0000,0.0000,108,5.0948e-01
TCGA-KIRC,755,82,13518,1125,0.0000,0.000000,0.000000,7.8521e-01,0.5728,0.0000,0.0000,0.0000,0.0000,133,7.8521e-01
TCGA-BRCA,1032,109,13525,1125,0.0000,0.000000,0.000000,6.9930e-01,0.1990,0.0000,0.0000,0.0000,0.0000,153,7.8521e-01
