cell_type,region_a,region_b,omega,kn,kf
Astrocyte,Human A1C,Human A5-A7,38.68881137858048,0.0004860755394521612,0.01880568486160642
Astrocyte,Human A1C,Human A13,25.75681580486128,0.00043468746070335985,0.011196164858019315
Astrocyte,Human A1C,Human A14,46.203258309052146,0.0006961693827939588,0.03216529382008268
Astrocyte,Human A1C,Human A19,35.525413761394105,0.0004817975221795796,0.017116056324644018
Astrocyte,Human A1C,Human A23,37.687091110733974,0.0004613593962463262,0.017387293601128513
Astrocyte,Human A1C,Human A24,43.02870165558095,0.00048682401271066185,0.02094740520169982
Astrocyte,Human A1C,Human A25,53.996700304613704,0.00044431718882211393,0.023991662085016144
Astrocyte,Human A1C,Human A29-A30,24.7880271700427,0.0012742245826429506,0.03158551357528978
Astrocyte,Human A1C,Human A32,72.56557720400279,0.000456121418558128,0.03309871401277911
Astrocyte,Human A1C,Human A35-36,20.338879504537907,0.002563807543865841,0.052144972707512616
Astrocyte,Human A1C,Human A35-A36,32.45275205615902,0.0008240101773895345,0.026741397978574173
Astrocyte,Human A1C,Human A35r,36.97846865014502,0.001336089442549831,0.04940654156511866
Astrocyte,Human A1C,Human A38,34.73178629378047,0.0008076684696008329,0.028051768682400863
Astrocyte,Human A1C,Human A40,39.169206351243915,0.0005665980286503082,0.022193195102411935
Astrocyte,Human A1C,Human A43,52.79772319083366,0.000274395416261619,0.014487453232614538
Astrocyte,Human A1C,Human A44-A45,30.01164022650223,0.0003360400088261188,0.01008511184660011
Astrocyte,Human A1C,Human A46,44.80889632655217,0.0004565424722496446,0.02045716430770215
Astrocyte,Human A1C,Human ANC,157.8635256852656,0.001124935890143299,0.17758634578791382
Astrocyte,Human A1C,Human AON,47.68202499156702,0.00042529779865135354,0.020279060264152278
Astrocyte,Human A1C,Human BL,50.35540167293953,0.0011124677825921762,0.0560187620406334
Astrocyte,Human A1C,Human BM,51.515009394441016,0.001001153722064754,0.051574443397445394
Astrocyte,Human A1C,Human BNST,86.77502583414595,0.0011777291877707898,0.10219748069443801
Astrocyte,Human A1C,Human CA1-3,46.69264681716232,0.0011313123371545018,0.05282396739865361
Astrocyte,Human A1C,Human CA1C-CA3C,84.92773541395896,0.0006361372564019909,0.054025696598670056
Astrocyte,Human A1C,Human CA1R-CA2R,60.28285171870984,0.0006556742561863865,0.03952591396145931
Astrocyte,Human A1C,Human CA1R-CA2R-CA3R,45.73296997251448,0.0013147380699963583,0.0601268766768651
Astrocyte,Human A1C,Human CA1U,68.23267614957923,0.0007885573826860559,0.053805380518177466
Astrocyte,Human A1C,Human CA1U-CA2U-CA3U,44.38039599052933,0.001632221550568125,0.07243863875848919
Astrocyte,Human A1C,Human CA2U-CA3U,63.185510529151564,0.0007320412775970232,0.04625440185338027
Astrocyte,Human A1C,Human CA3R,94.28387985903653,0.0012003076569327945,0.11316966292013322
Astrocyte,Human A1C,Human CA4C-DGC,70.37529528546328,0.0005593611039199532,0.03936520285956942
Astrocyte,Human A1C,Human CBL,159.31738621204482,0.0018940421047221028,0.3017538374998855
Astrocyte,Human A1C,Human CBV,148.80773061566117,0.0020290326194764264,0.3019357394494374
Astrocyte,Human A1C,Human CEN,41.02822633777034,0.002240599299994512,0.09192781521242463
Astrocyte,Human A1C,Human CM,98.76044529798499,0.0016135732571629562,0.15935721339833359
Astrocyte,Human A1C,Human CM-Pf,123.08068537051167,0.0011406601001574621,0.14039322690217693
Astrocyte,Human A1C,Human CMN,79.43996499916692,0.0008458279209171736,0.0671925404329784
Astrocyte,Human A1C,Human CaB,73.1623213989642,0.0008725346498413004,0.0638366604834219
Astrocyte,Human A1C,Human CbDN,130.2614801571777,0.0013448719901826762,0.17518501606312475
Astrocyte,Human A1C,Human Cla,61.35371114243062,0.0006752526512950495,0.04142925611571689
Astrocyte,Human A1C,Human CoA,65.31039800763774,0.001221695622045424,0.07978942731997521
Astrocyte,Human A1C,Human DGR-CA4Rpy,77.38006041659618,0.0010640485133356168,0.08233613824809938
Astrocyte,Human A1C,Human DGU-CA4Upy,73.60747150183535,0.0007409144394952959,0.054536838490448304
Astrocyte,Human A1C,Human DTg,149.91535591983012,0.001297931532902277,0.19457986771461555
Astrocyte,Human A1C,Human ETH,119.82608525659293,0.0015720629338166082,0.1883741471362385
Astrocyte,Human A1C,Human FI,44.65828279773049,0.0007864774421518086,0.03512273202565119
Astrocyte,Human A1C,Human GPe,103.61831440155709,0.0011695030700695013,0.12118193680804784
Astrocyte,Human A1C,Human GPi,113.06273734970627,0.0016987655185371165,0.1920670796410996
Astrocyte,Human A1C,Human Gpe,76.97918730707455,0.0020027363948256164,0.15416902006397634
