cell_type,region_a,region_b,omega,kn,kf,expected_omega,observed_residual,null_le_count,p_value,q_value
Astrocyte,Human A1C,Human A5-A7,3.2394297774387697,0.0033282871304184,0.0107817524381437,6.329253756663802,0.5118185969440887,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human A13,3.470446807279192,0.0028530609611056,0.0099013963034421,6.351894238838557,0.5463640729499556,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human A14,5.054379920088379,0.0045022737763206,0.0227562021697755,8.697976429769295,0.5810983693620381,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human A19,3.643571442549054,0.0036192552099031,0.0131870149260999,7.368359927910314,0.4944887978052913,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human A23,4.609059798660232,0.0032206542859119,0.0148441881945795,6.45344730432097,0.7142011984159521,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human A24,6.799968372668818,0.0027843145790173,0.0189332510768787,8.983624013058678,0.7569293152500952,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human A25,5.90455131707839,0.0032969656816205,0.0194671030577748,8.520810862837662,0.6929565052112908,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human A29-A30,2.3626330240928963,0.0062551029915597,0.0147785128969613,4.418574203541534,0.5347048426162495,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human A32,7.677778157173635,0.0032899660132197,0.0252596291941425,10.713772425735268,0.7166269594014381,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human A35-36,2.3727920938331084,0.0241166809375172,0.0572238698580365,4.748290162402445,0.4997150579846979,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human A35-A36,5.248779383745946,0.0048090877058111,0.0252418404048874,8.102164818015995,0.647824316295658,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human A35r,5.582010150511895,0.008062338925479,0.0450040577188912,11.275719527100797,0.4950469136001236,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human A38,5.187435636305563,0.0042300106447537,0.0219429079605473,8.708620896076042,0.5956667190143659,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human A40,4.9671346967031775,0.0041867628105214,0.0207962148230077,6.40136994859123,0.7759487010739491,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human A43,6.75527065273486,0.0019254868743062,0.0130071849742272,6.347518235842733,1.0642380851447828,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human A44-A45,4.923909106808127,0.0021718519332666,0.0106940015128503,7.003206697600424,0.703093499795637,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human A46,4.399949178563577,0.0033100112693811,0.0145638813657498,7.490833528475459,0.5873777813694196,0,9.999000099990002e-05,0.0002751999299680118
