cell_type,region_a,region_b,omega,expected_omega,residual,tier
Astrocyte,Human A23,Human LP,191.22476359155752,148.19,1.2904,None
Astrocyte,Human A23,Human LP-VPL,95.64532093645187,143.07,0.6685,Weak
Astrocyte,Human A23,Human La,47.77134394852978,71.37,0.6693,Weak
Astrocyte,Human A23,Human M1C,44.065458988858595,70.0,0.6295,Weak
Astrocyte,Human A23,Human MD,203.87064793291188,195.0,1.0455,None
Astrocyte,Human A23,Human MD-Re,124.02176925774462,162.41,0.7637,None
Astrocyte,Human A23,Human MEC,54.73297841428486,68.09,0.8038,None
Astrocyte,Human A23,Human MG,110.01153198219386,84.78,1.2976,None
Astrocyte,Human A23,Human MN,82.05329908416611,121.67,0.6744,Weak
Astrocyte,Human A23,Human MTG,36.92137588240255,57.24,0.645,Weak
Astrocyte,Human A23,Human MoAN,192.12353384332079,169.12,1.136,None
Astrocyte,Human A23,Human MoRF-MoEN,209.35576276858828,179.34,1.1674,None
Astrocyte,Human A23,Human MoSR,114.88062450592614,118.61,0.9685,None
Astrocyte,Human A23,Human NAC,94.64145164341187,101.06,0.9365,None
Astrocyte,Human A23,Human PAG,219.40042907026054,203.55,1.0779,None
Astrocyte,Human A23,Human PAG-DR,199.9566240525693,187.9,1.0642,None
Astrocyte,Human A23,Human PB,234.60875904327227,205.27,1.1429,None
Astrocyte,Human A23,Human PN,154.61187962690468,202.09,0.765,None
Astrocyte,Human A23,Human PTR,174.16893222864255,143.06,1.2174,None
Astrocyte,Human A23,Human Pir,83.88497291564853,92.14,0.9104,None
Astrocyte,Human A23,Human PnAN,196.2812384637308,185.47,1.0583,None
Astrocyte,Human A23,Human PnEN,179.51616274048894,149.79,1.1985,None
Astrocyte,Human A23,Human PnRF,199.9068650241702,207.92,0.9615,None
Astrocyte,Human A23,Human Pro,23.943782461834335,50.76,0.4717,Moderate
Astrocyte,Human A23,Human Pu,118.07517959684095,113.64,1.039,None
Astrocyte,Human A23,Human Pul,259.61385633903893,198.33,1.309,None
Astrocyte,Human A23,Human RN,150.67485487015801,132.32,1.1387,None
Astrocyte,Human A23,Human S1C,37.741535505109624,48.43,0.7793,None
Astrocyte,Human A23,Human SC,207.8826849319563,175.4,1.1852,None
Astrocyte,Human A23,Human SEP,69.677611827019,128.05,0.5442,Weak
Astrocyte,Human A23,Human SI,110.6428748790271,159.54,0.6935,Weak
Astrocyte,Human A23,Human SN,239.6980018291792,230.17,1.0414,None
Astrocyte,Human A23,Human SN-RN,182.56374795079196,198.34,0.9204,None
Astrocyte,Human A23,Human STG,39.695246642738425,60.46,0.6565,Weak
Astrocyte,Human A23,Human STH,187.31007676062603,166.33,1.1261,None
Astrocyte,Human A23,Human SpC,110.5566373173785,143.54,0.7702,None
Astrocyte,Human A23,Human Sub,103.52689710912408,105.37,0.9825,None
Astrocyte,Human A23,Human TF,22.947574807567758,45.35,0.506,Weak
Astrocyte,Human A23,Human TH-TL,67.72313941945131,101.71,0.6658,Weak
Astrocyte,Human A23,Human V1C,36.3837933758549,57.06,0.6377,Weak
