=== results/kf_only_severity.csv (12, 10)
   cancer   stratification          group    n  omega_mean  omega_std  kf_mean  kf_std   kn_mean    kn_std
0    LIHC  Edmondson_grade             G1   39       73.54      15.61   0.4997  0.0563  0.008650  0.002076
1    LIHC  Edmondson_grade             G2  133       66.99      17.72   0.4961  0.0746  0.009612  0.004957
2    LIHC  Edmondson_grade             G3  105       66.15      17.07   0.5200  0.0709  0.009944  0.004208
3    LIHC  Edmondson_grade             G4   11       66.18      24.51   0.5320  0.0557  0.011159  0.006660
4    BRCA            PAM50     Basal-like   97       97.83      27.10   0.5362  0.0645  0.006095  0.001704
5    BRCA            PAM50  HER2-enriched   55      103.13      29.38   0.5132  0.0504  0.005631  0.001706
6    BRCA            PAM50      Luminal A  224      123.38      36.16   0.4789  0.0673  0.004855  0.001917
7    BRCA            PAM50      Luminal B  123      116.60      26.87   0.5066  0.0533  0.004964  0.001396
8    BRCA            PAM50    Normal-like    7       90.51      44.63   0.4301  0.1094  0.007030  0.004706
9    LUAD         mutation             WT  311      100.47      33.92   0.4828  0.0634  0.006270  0.002951
10   LUAD         mutation           EGFR   61      107.00      24.78   0.4720  0.0594  0.005475  0.002081
11   LUAD         mutation           KRAS  120      118.05      27.73   0.4971  0.0457  0.005195  0.001710
