pair_type,cancer,omega,kn,kf
TT,TCGA-LIHC,79.71765741221944,0.004605185552954821,0.36711460423015474
TT,TCGA-LIHC,91.49135170265642,0.0056026094893558255,0.5125903152432941
TT,TCGA-LIHC,102.12361310068638,0.004575035256800487,0.4672191304874923
TT,TCGA-LIHC,57.53450069044817,0.009413071368641857,0.5415763611583628
TT,TCGA-LIHC,98.14612102290269,0.006928131626110041,0.6799692450387957
TT,TCGA-LIHC,77.97626194258557,0.006849755063440942,0.5341182950694227
TT,TCGA-LIHC,64.75641426428103,0.009274134866031212,0.6005597193275296
TT,TCGA-LIHC,102.02746369991127,0.004081971175498855,0.41647316593229355
TT,TCGA-LIHC,130.1649937304921,0.0035477137181350953,0.46178813387863554
TT,TCGA-LIHC,47.11522524816993,0.013325457767823283,0.6278319442659697
TT,TCGA-LIHC,65.58677158321632,0.008513083534979609,0.5583456652775474
TT,TCGA-LIHC,10.190951498616139,0.029590670369908513,0.30155708655127533
TT,TCGA-LIHC,74.49508185481895,0.006596617335912632,0.49141554840372925
TT,TCGA-LIHC,31.857901517456803,0.0200569989470717,0.638973897191545
TT,TCGA-LIHC,39.350073849756626,0.013352565292095515,0.5254244303276556
TT,TCGA-LIHC,55.15521411258459,0.008303678158759991,0.45799114676839947
TT,TCGA-LIHC,39.4418906955067,0.01807303283527941,0.712834585625394
TT,TCGA-LIHC,76.92858640416526,0.008513417377721225,0.6549251643367493
TT,TCGA-LIHC,62.03916690797189,0.007575007548757435,0.4699471576465095
TT,TCGA-LIHC,36.153113892333565,0.014118817532314795,0.5104392182708527
TT,TCGA-LIHC,95.31556401512161,0.0042388436744338065,0.4040277756005888
TT,TCGA-LIHC,119.07699751747126,0.005229126007901352,0.6226686246614137
TT,TCGA-LIHC,13.322988578822077,0.03812540033696227,0.5079442732523677
TT,TCGA-LIHC,68.05124638727112,0.006447358007862375,0.43875074833998795
TT,TCGA-LIHC,13.444039927241356,0.02543872118112988,0.34199918325707046
TT,TCGA-LIHC,83.63987330375355,0.007395180880080886,0.618531991868306
TT,TCGA-LIHC,70.68546880164233,0.007682192253195839,0.5430193608414929
TT,TCGA-LIHC,51.164948098297344,0.012124978519466928,0.6203738966414956
TT,TCGA-LIHC,43.783503695543885,0.015860847534591285,0.6944434766452356
TT,TCGA-LIHC,52.275941347354866,0.014076536062214422,0.7358641735622468
TT,TCGA-LIHC,36.96634067883645,0.00728765524814548,0.2693979466528562
TT,TCGA-LIHC,105.60428370151392,0.005120488198392174,0.540745488393261
TT,TCGA-LIHC,87.58922629256837,0.006133982951015479,0.5372708207712511
TT,TCGA-LIHC,101.23309117274309,0.005745021226019739,0.5815862575630005
TT,TCGA-LIHC,16.528908889777675,0.03009648634863686,0.4974620807590563
TT,TCGA-LIHC,56.47865069256667,0.011261147647987139,0.6360144244080843
TT,TCGA-LIHC,39.79486052129446,0.005236342233165147,0.20837950881057055
TT,TCGA-LIHC,95.27893069772378,0.006214374079362156,0.5920989172372778
TT,TCGA-LIHC,147.5592145839538,0.004926575012633098,0.7269615394530722
TT,TCGA-LIHC,84.72773523882658,0.006802039964193547,0.5763214411701083
TT,TCGA-LIHC,61.26376849568573,0.005683682807854175,0.34820382774328723
