series,rep,delta,eta,eps,dropout,depth,n_b,module_size,module_seed,omega,k_f,k_n,k_total,cosine,kf_over_kt
baseline,0,0.0,0.0,0.0,0.0,1.0,200,200,42,16.0482256429211,0.04756534209817455,0.0029639003810465305,0.0033633316184024523,0.014047105259045178,14.142328944883404
baseline,1,0.0,0.0,0.0,0.0,1.0,200,200,42,13.128054224735099,0.037363942466378655,0.0028461142700020037,0.002955360910778647,0.014153835272475601,12.642768038958193
baseline,2,0.0,0.0,0.0,0.0,1.0,200,200,42,9.8338621351409,0.023197326486571544,0.002358923296644241,0.0023012243271587404,0.011735647781317526,10.08042814983303
baseline,3,0.0,0.0,0.0,0.0,1.0,200,200,42,10.804113327376685,0.02395621904855926,0.0022173239323449415,0.0023595297641563024,0.01094362627747314,10.152963277886554
baseline,4,0.0,0.0,0.0,0.0,1.0,200,200,42,11.29660609177641,0.02607243806105289,0.002307988598454614,0.002334940457482029,0.01142919172997392,11.166211102945676
baseline,5,0.0,0.0,0.0,0.0,1.0,200,200,42,10.910931025293673,0.02832157138157134,0.002595706206547947,0.0025115741609041337,0.012607365159651107,11.276422501247563
baseline,6,0.0,0.0,0.0,0.0,1.0,200,200,42,11.47574852471846,0.027280592669341318,0.0023772386272302532,0.002919607031886138,0.012568556350806337,9.343926210411057
baseline,7,0.0,0.0,0.0,0.0,1.0,200,200,42,14.915072317592967,0.03338644725664695,0.00223843683394456,0.003142386727055054,0.013491030181360997,10.624550749657628
baseline,8,0.0,0.0,0.0,0.0,1.0,200,200,42,9.678818452297032,0.025992377216800946,0.0026854907285333253,0.0028451657490817933,0.012872398230948767,9.135628469163647
baseline,9,0.0,0.0,0.0,0.0,1.0,200,200,42,8.399775188495465,0.02154537150001707,0.002564993826206936,0.0024021559338014606,0.012165766432188474,8.969181058084386
baseline,10,0.0,0.0,0.0,0.0,1.0,200,200,42,9.443617469469535,0.02298568584363628,0.0024339916264024012,0.002431909904851389,0.01148133690800135,9.451701231933963
baseline,11,0.0,0.0,0.0,0.0,1.0,200,200,42,10.078207480705165,0.02273617063355974,0.002255973661694143,0.0021177259745362286,0.010268356621578545,10.73612493162098
baseline,12,0.0,0.0,0.0,0.0,1.0,200,200,42,9.10555636766291,0.02185243765612209,0.002399901419942654,0.0023661637846577785,0.011459395815748619,9.23538674618107
baseline,13,0.0,0.0,0.0,0.0,1.0,200,200,42,14.43017155650134,0.030377406164021778,0.0021051313246747646,0.0026301780696306697,0.011932412668527181,11.549562561856272
baseline,14,0.0,0.0,0.0,0.0,1.0,200,200,42,12.796615227515645,0.03247942315522897,0.002538126104267853,0.0030580706481690544,0.013369395955814656,10.620887118705134
baseline,15,0.0,0.0,0.0,0.0,1.0,200,200,42,8.701843615990708,0.02283735493273529,0.002624427183541754,0.0030459243838925204,0.012553261241429636,7.497676256673985
baseline,16,0.0,0.0,0.0,0.0,1.0,200,200,42,8.302857800606608,0.018866803978417016,0.002272326520759949,0.0023258954048090983,0.01090919959900849,8.11163044537918
baseline,17,0.0,0.0,0.0,0.0,1.0,200,200,42,8.496736949233856,0.021817732630532004,0.002567777814105366,0.002652760114543913,0.012219408989923464,8.224540361156293
baseline,18,0.0,0.0,0.0,0.0,1.0,200,200,42,17.989464924510674,0.04594103635668601,0.002553774475753933,0.003181640029115369,0.013287756123920968,14.439419901772977
baseline,19,0.0,0.0,0.0,0.0,1.0,200,200,42,21.536664372645394,0.04488487964284518,0.002084114738764064,0.0028335853878009723,0.012090669277598609,15.840313066294597
baseline,20,0.0,0.0,0.0,0.0,1.0,200,200,42,7.711048236683305,0.016746621296951272,0.0021717697494464607,0.0018886591158914473,0.009796252158084218,8.866936948040443
baseline,21,0.0,0.0,0.0,0.0,1.0,200,200,42,6.586463319927326,0.01795905158359047,0.0027266608362116604,0.0025806713147008852,0.01148333044044092,6.959061962399512
baseline,22,0.0,0.0,0.0,0.0,1.0,200,200,42,12.790053950601417,0.030443184467606466,0.0023802233036065465,0.002794702151113829,0.012396272326971713,10.893176739951816
baseline,23,0.0,0.0,0.0,0.0,1.0,200,200,42,11.21520594571872,0.030359564573905644,0.002707000185359509,0.0026340591647480787,0.011949281099227105,11.52577169875728
baseline,24,0.0,0.0,0.0,0.0,1.0,200,200,42,9.816572030145094,0.023276996883193006,0.00237119401881972,0.002311594429423327,0.011600192200352799,10.069671646076737
baseline,25,0.0,0.0,0.0,0.0,1.0,200,200,42,7.931576390472692,0.019417080008565353,0.0024480732521077273,0.002363055297946391,0.011633013533399073,8.216938480212347
baseline,26,0.0,0.0,0.0,0.0,1.0,200,200,42,9.830077242662966,0.02161053076478161,0.0021984090492179406,0.002397941607228056,0.011846845298672859,9.01211718402213
baseline,27,0.0,0.0,0.0,0.0,1.0,200,200,42,9.583193391854662,0.024023136383352277,0.002506798663144062,0.0023978745683492153,0.011808795798349592,10.018512519564643
baseline,28,0.0,0.0,0.0,0.0,1.0,200,200,42,7.066727897903211,0.019384839024284832,0.002743113829249965,0.002344998843139189,0.011971846064685376,8.266459951995051
baseline,29,0.0,0.0,0.0,0.0,1.0,200,200,42,13.912991256842622,0.0343354370275691,0.002467868799290908,0.0035016128285534067,0.013434956142651888,9.805606361613036
baseline,30,0.0,0.0,0.0,0.0,1.0,200,200,42,7.436851084036358,0.01734163664939599,0.0023318520773692565,0.002210777015441075,0.011318611611288998,7.844136486074393
baseline,31,0.0,0.0,0.0,0.0,1.0,200,200,42,11.01058198294136,0.032312299739762455,0.002934658657446422,0.004863656559047219,0.01616554228269973,6.643622827285398
