category,min,max,count
C_control,1.5938021561002569,12.160541196524411,6
D_diff_ct,30.09066880471253,61.715322165279055,3
S_same_ct,8.801141886364023,42.77281069131156,4
X_cross,22.96491256365046,31.64671105425795,2
