cell_type,n_cells,cki_omega_cal_stim_ctrl,meld_mean_res_stim_minus_half,meld_auc_within_type,scdist_approx_distance
B cells,2573,3.437877693452768,-0.007336841364401381,0.9994331168540765,94.6936974399276
CD14+ Monocytes,5385,2.2846526343940257,-0.01688750535393091,0.9997631542604613,182.64728739735983
CD4 T cells,10389,1.7607256446861135,0.0030910144219545854,0.9988874314405893,71.85295468628611
CD8 T cells,2042,3.229674191873147,-0.03119648280346099,0.9975575708564387,72.43291919805083
FCGR3A+ Monocytes,1599,3.086585415880161,0.036455943101617594,0.999479183056928,145.30278174319818
NK cells,1993,2.884709782617657,0.04191136713789534,0.9972165119833923,88.19071924573885
