rep,tissue,cell_type,kn,kf,omega,n_half_a,n_half_b
20,Marrow,neutrophil,0.0002275577781133256,0.0009445291063714467,4.150722133967505,299,300
21,Liver,hepatocyte,0.0002223544264411488,0.0015598062051916809,7.0149545936946724,199,200
21,Heart,endothelial cell,0.0002703292237245503,0.0014764581518347144,5.461703812456248,568,569
21,Spleen,B cell,0.00028089076832770935,0.001611744463195954,5.737975914237116,619,619
21,Marrow,B cell,0.00016824953986410544,0.0012860271035595103,7.643569810640967,924,924
21,Heart,fibroblast,9.325964458784084e-05,0.0009123421176700895,9.782817870496585,1026,1026
21,Marrow,neutrophil,0.00023339083601011952,0.0012400003556886372,5.312977908159481,299,300
22,Liver,hepatocyte,0.00026528449615498273,0.004357558357086627,16.425981993839862,199,200
22,Heart,endothelial cell,0.00022424270841716855,0.002288826127029041,10.20691438836458,568,569
22,Spleen,B cell,0.0002493020921045542,0.0013313889382733416,5.340464362067903,619,619
22,Marrow,B cell,0.00017184542864936525,0.0012871920160172478,7.490405919634001,924,924
22,Heart,fibroblast,0.00010604018343509072,0.0008681602275397789,8.187087191066553,1026,1026
22,Marrow,neutrophil,0.00021689780093930966,0.0010954336138173908,5.050459751428761,299,300
23,Liver,hepatocyte,0.00033960263510539226,0.009380311058550273,27.621431899782486,199,200
23,Heart,endothelial cell,0.0002638866889736372,0.0018646386573247407,7.066058028834572,568,569
23,Spleen,B cell,0.00025112995222945013,0.001492764120249631,5.9441898785762355,619,619
23,Marrow,B cell,0.00019253269133003289,0.001100984198798312,5.718427302878361,924,924
23,Heart,fibroblast,0.00010401477110096682,0.0008737600916391337,8.400346243044437,1026,1026
23,Marrow,neutrophil,0.0002567271936773682,0.0008493395051115552,3.308334785051751,299,300
24,Liver,hepatocyte,0.00018661032425598388,0.0022387459915699567,11.996903175083403,199,200
24,Heart,endothelial cell,0.00022648684099428563,0.0019146578131404514,8.45372651556723,568,569
24,Spleen,B cell,0.00024856719137368013,0.0017207246914854126,6.922573658961228,619,619
24,Marrow,B cell,0.00017517557109310463,0.0012002380269065358,6.851629022340206,924,924
24,Heart,fibroblast,9.996097377026874e-05,0.0004980059971627043,4.982004260054794,1026,1026
24,Marrow,neutrophil,0.00024812045955875813,0.0011125660029179933,4.483975263049693,299,300
25,Liver,hepatocyte,0.00021137607472626317,0.0016187803437424653,7.658295035702705,199,200
25,Heart,endothelial cell,0.0002713574209747712,0.001107294894885985,4.0805771624315845,568,569
25,Spleen,B cell,0.000234766599711809,0.001738053477145323,7.403325171804229,619,619
25,Marrow,B cell,0.00015890121994445588,0.0013174871916305808,8.291233963408903,924,924
25,Heart,fibroblast,0.00010446784930453279,0.0004035621209517253,3.8630269852240082,1026,1026
25,Marrow,neutrophil,0.00021393919769369216,0.0013401950648158525,6.2643736129864305,299,300
26,Liver,hepatocyte,0.0003036248029679911,0.006769892894992257,22.29690337816689,199,200
26,Heart,endothelial cell,0.0002944848087714454,0.0021659450302371685,7.35503145059749,568,569
26,Spleen,B cell,0.0002319382938063306,0.0016527654010757425,7.125884104570538,619,619
26,Marrow,B cell,0.00017391476361668546,0.0010046941328938717,5.776934125663159,924,924
