pair_type,cancer,sample_a,sample_b,kn,kf,omega_floor,omega_raw
TT,TCGA-BRCA,TCGA-AO-A12F-01,TCGA-LD-A66U-01,0.003885627220630446,0.28047980630534375,72.18392047908179,72.18392047908179
TT,TCGA-BRCA,TCGA-A2-A0EU-01,TCGA-EW-A1J1-01,0.0017700354148963667,0.30350033482175764,171.46568496174817,171.46568496174817
TT,TCGA-BRCA,TCGA-A8-A09E-01,TCGA-S3-AA10-01,0.0027317711093628357,0.4489029400922338,164.32670312445646,164.32670312445646
TT,TCGA-BRCA,TCGA-AQ-A7U7-01,TCGA-E2-A152-01,0.0016126040207648758,0.25268463792829493,156.69354328438536,156.69354328438536
TT,TCGA-BRCA,TCGA-B6-A1KN-01,TCGA-BH-A1F8-01,0.002452602955210553,0.2635573212696234,107.46024777866963,107.46024777866963
TT,TCGA-BRCA,TCGA-E9-A1RB-01,TCGA-OL-A66J-01,0.0031244855155985974,0.3517996872037972,112.59443689128398,112.59443689128398
TT,TCGA-BRCA,TCGA-D8-A1XA-01,TCGA-E2-A9RU-01,0.007736924314383157,0.27033291859971365,34.94061821144576,34.94061821144576
TT,TCGA-BRCA,TCGA-A1-A0SH-01,TCGA-A8-A07C-01,0.0029039407744138497,0.2880398930479054,99.18931390949088,99.18931390949088
TT,TCGA-BRCA,TCGA-AO-A0J3-01,TCGA-BH-A1FG-01,0.002681829802891434,0.35985060263555546,134.18099919971803,134.18099919971803
TT,TCGA-BRCA,TCGA-A2-A0SU-01,TCGA-A7-A0DA-01,0.002603786522962868,0.3532457959201827,135.66618953009313,135.66618953009313
TT,TCGA-BRCA,TCGA-A8-A0A9-01,TCGA-AR-A2LH-01,0.001222808140752738,0.23764499737226485,194.34365003979693,194.34365003979693
TT,TCGA-BRCA,TCGA-A8-A0A1-01,TCGA-EW-A1IZ-01,0.002228611541436345,0.4071016350915938,182.6705226650742,182.6705226650742
TT,TCGA-BRCA,TCGA-EW-A2FR-01,TCGA-GM-A2DO-01,0.002487704762004651,0.2699088823171032,108.49715225033547,108.49715225033547
TT,TCGA-BRCA,TCGA-EW-A1J1-01,TCGA-LL-A442-01,0.001604281782618662,0.3238957960960766,201.89457962140725,201.89457962140725
TT,TCGA-BRCA,TCGA-A7-A6VX-01,TCGA-JL-A3YX-01,0.0022114598741832326,0.2810759162079532,127.09971340165694,127.09971340165694
TT,TCGA-BRCA,TCGA-A2-A0CL-01,TCGA-A2-A0EX-01,0.001933750149443839,0.3198103445919171,165.38348797743956,165.38348797743956
TT,TCGA-BRCA,TCGA-AR-A5QN-01,TCGA-B6-A0RU-01,0.0021405558367018126,0.3176558705113961,148.3987780486227,148.3987780486227
TT,TCGA-BRCA,TCGA-A7-A4SA-01,TCGA-BH-A1EO-01,0.002865475543883317,0.32137811617047385,112.1552465720714,112.1552465720714
TT,TCGA-BRCA,TCGA-AO-A03O-01,TCGA-AR-A1AN-01,0.002288977683837087,0.3379148737773777,147.62698481661042,147.62698481661042
TT,TCGA-BRCA,TCGA-BH-A18Q-01,TCGA-D8-A1JI-01,0.0024117962003143527,0.3560970112338603,147.64805218096237,147.64805218096237
TT,TCGA-BRCA,TCGA-AN-A04A-01,TCGA-BH-A0B0-01,0.0015784941950165343,0.2531494245313954,160.37399778257893,160.37399778257893
TT,TCGA-BRCA,TCGA-A2-A3KC-01,TCGA-EW-A3U0-01,0.0016286348354257003,0.22050933788069937,135.395199147304,135.395199147304
