cancer,n_TT,n_NN,omega_TT_med,omega_NN_med,omega_NN_TT,kf_TT_med,kf_NN_med,kf_NN_TT,kn_TT_med,kn_NN_med,kn_NN_TT,dlog_omega,dlog_kf,dlog_kn,p_omega,p_kf,p_kn
TCGA-BRCA,2000,5886,106.30787308448402,160.40266780374012,1.5088503151245098,0.5109485727907412,0.27813806260114193,0.5443562765661217,0.0047738743414676,0.00171239876838295,0.3587021035531737,0.2978377766376257,-0.7016259418356672,-0.9994637184733168,2.979039237309749e-78,0.0,0.0
TCGA-KIRC,2000,3321,92.97081353738773,203.7658844171416,2.191718848789015,0.4660444803652515,0.2980465257126433,0.6395237756684862,0.00518634757823745,0.00139673844581,0.2693106130547219,0.7760244301807333,-0.42549389245539293,-1.2015183226361552,3.843616955509087e-299,0.0,0.0
TCGA-LIHC,2000,1596,64.66815345371222,79.81010765675364,1.234148547536302,0.5286372376344926,0.31519651725779463,0.5962435008706785,0.00780183126192555,0.00352049759822025,0.45123990509778916,0.15903609369924343,-0.4275580956568116,-0.5865941893560631,1.6563545472074008e-17,1.0385245823236916e-246,2.0388644717025307e-96
TCGA-LUAD,2000,2850,103.44780573343093,239.75256221151352,2.317618633973919,0.5001690498127556,0.37013126752134284,0.7400123371486221,0.00485225252375175,0.0018623662222448998,0.3838147773902177,0.8817163460968267,-0.2046572896627037,-1.0863736357595561,0.0,2.0027288780257157e-131,0.0
TCGA-LUSC,2000,1653,97.68574852723103,172.89465643048942,1.769906655138063,0.5247074135581854,0.32684597341146,0.6229109118070726,0.0053214286214729005,0.0019665425153108,0.36955161014007687,0.47447449021828714,-0.455639879426896,-0.9301143696452021,3.0963729220810106e-97,0.0,1.2359511889754672e-227
