label,w1,w2,auc,u_stat,p_val,effect_sep,omega_mean,omega_median
identity_only,1.0,0.0,0.7855051244509517,2930.0,6.623039583187843e-06,2.700079259919266,5.7087487263326855,4.056674507736755
w1=0.8_w2=0.2,0.8,0.2,0.7642020497803806,3221.0,2.7777859070933844e-05,2.3521907950466847,4.758553029442871,3.432031983674182
w1=0.5_w2=0.5,0.5,0.5,0.6906295754026355,4226.0,0.0018171018882982433,1.7647416450466216,3.333259484108149,2.5485906650188306
w1=0.2_w2=0.8,0.2,0.8,0.5578330893118595,6040.0,0.18890899942882305,1.0814185898087834,1.9079659387734278,1.5922460335469202
pathway_only,0.0,1.0,0.3583455344070279,8765.0,0.9846940638937277,0.5603494444127266,0.9577702418836137,0.836241031078367
