module,variance,sd,mean
0,0.08151766256498835,0.2855129814298964,0.3876911226158938
17,0.07313676433745216,0.2704380970526382,0.4290126092300352
19,0.0727726169275116,0.26976400228257214,0.5235149815502262
13,0.07248604477046079,0.26923232489888876,0.6479624255157972
4,0.07037658308145822,0.2652858516420697,0.5520945874183241
12,0.06698064609031212,0.25880619407253785,0.6300964600801132
7,0.06350539276116156,0.25200276339985156,0.5320254124077417
14,0.05975397148739065,0.24444625480336296,0.44390217802474446
9,0.05919635141014264,0.24330300329042928,0.5184126189763323
8,0.05885754876983645,0.2426057476026412,0.46115199385236505
10,0.053750709324556084,0.23184199215102533,0.4467362976796032
1,0.052112726919832465,0.22828212133198794,0.4589455276608662
3,0.04918344124723378,0.2217734006756306,0.4244760367297833
16,0.048226621443831004,0.21960560430879492,0.5500519073668307
2,0.04758742081924979,0.2181454120976414,0.5269593177227295
15,0.0472361496405878,0.21733879000442557,0.29219465403414613
11,0.046368778163496736,0.2153341082213794,0.7002423556100391
6,0.028064774822762074,0.16752544529939944,0.49163640161570166
18,0.02761069528027159,0.16616466315156056,0.13293629702343135
5,0.026109561066136,0.1615845322614018,0.8648849115884633
