pair_type,cancer,sample_a,sample_b,kn,kf,omega_floor,omega_raw
TT,TCGA-LIHC,TCGA-HP-A5MZ-01,TCGA-K7-AAU7-01,0.002343066592129659,0.19781824738416248,84.42707008355303,84.42707008355303
TT,TCGA-LIHC,TCGA-DD-AACH-01,TCGA-YA-A8S7-01,0.002843039348749155,0.3054407716241859,107.43459170150774,107.43459170150774
TT,TCGA-LIHC,TCGA-DD-A11D-01,TCGA-XR-A8TD-01,0.0023706935844806792,0.26689515583727436,112.58104277349703,112.58104277349703
TT,TCGA-LIHC,TCGA-G3-A7M9-01,TCGA-RC-A6M4-01,0.004914425220852513,0.31039521651143664,63.160024328865845,63.160024328865845
TT,TCGA-LIHC,TCGA-FY-A3WA-01,TCGA-HU-A4GN-01,0.0034336908774605162,0.44964721166894134,130.95157010799142,130.95157010799142
TT,TCGA-LIHC,TCGA-DD-AACH-01,TCGA-ED-A459-01,0.0035061280014315062,0.3237239795101492,92.33090730799815,92.33090730799815
TT,TCGA-LIHC,TCGA-DD-A11A-01,TCGA-FY-A4B3-01,0.0047631218039194635,0.36555482391364197,76.7468981399626,76.7468981399626
TT,TCGA-LIHC,TCGA-KR-A7K2-01,TCGA-ZS-A9CD-01,0.0021575631526056125,0.2367999511714287,109.75342755805494,109.75342755805494
TT,TCGA-LIHC,TCGA-BC-A69I-01,TCGA-DD-AAEH-01,0.0018821667631257245,0.2674456823072955,142.09457288638282,142.09457288638282
TT,TCGA-LIHC,TCGA-DD-AAE6-01,TCGA-FY-A3YR-01,0.007173212532870876,0.3922329149425938,54.68023053063139,54.68023053063139
TT,TCGA-LIHC,TCGA-DD-AADP-01,TCGA-G3-AAV6-01,0.004557487647100802,0.3385109577443509,74.27578173682843,74.27578173682843
TT,TCGA-LIHC,TCGA-DD-A1ED-01,TCGA-DD-AADS-01,0.016668207507113418,0.15515257351988365,9.308293855453256,9.308293855453256
TT,TCGA-LIHC,TCGA-DD-AAE1-01,TCGA-ED-A7XP-01,0.0035120914395699505,0.2803430367785919,79.82224882303161,79.82224882303161
TT,TCGA-LIHC,TCGA-DD-A39Z-01,TCGA-DD-A73C-01,0.011040138259712163,0.40853564946734056,37.00457728488555,37.00457728488555
TT,TCGA-LIHC,TCGA-DD-AAEH-01,TCGA-FY-A3NM-01,0.006854754337459821,0.29530336358725584,43.08007975916566,43.08007975916566
TT,TCGA-LIHC,TCGA-DD-A73F-01,TCGA-FY-A3I5-01,0.004222347874264093,0.24327339756837063,57.61566900992742,57.61566900992742
TT,TCGA-LIHC,TCGA-DD-AADU-01,TCGA-FY-A4B4-01,0.00974412986266995,0.48063642409679697,49.32574081736424,49.32574081736424
TT,TCGA-LIHC,TCGA-F5-6864-01,TCGA-ZS-A9CG-01,0.004323177711684275,0.41978487330105363,97.10099868587379,97.10099868587379
TT,TCGA-LIHC,TCGA-DD-AADK-01,TCGA-DD-AADU-01,0.004191758475556064,0.2639615545952517,62.97155624173588,62.97155624173588
TT,TCGA-LIHC,TCGA-BC-A10Z-01,TCGA-DD-AADU-01,0.007663330071238884,0.29270477324861316,38.19550646097818,38.19550646097818
TT,TCGA-LIHC,TCGA-DD-AACY-01,TCGA-K7-A5RF-01,0.0022345582931158027,0.22015563226490611,98.5231098884995,98.5231098884995
TT,TCGA-LIHC,TCGA-DD-A1EF-01,TCGA-EP-A12J-01,0.0026712173485321893,0.3951442564918032,147.92665849857988,147.92665849857988
TT,TCGA-LIHC,TCGA-BC-A10W-01,TCGA-DD-AADN-01,0.02163436382788108,0.2830179106925681,13.08186887047871,13.08186887047871
TT,TCGA-LIHC,TCGA-G3-A5SI-01,TCGA-O8-A75V-01,0.0034940581578773488,0.24479902435801232,70.06151967050499,70.06151967050499
TT,TCGA-LIHC,TCGA-DD-A73G-01,TCGA-K7-A5RF-01,0.01489696427758421,0.17511965209539815,11.755391825628832,11.755391825628832
TT,TCGA-LIHC,TCGA-BC-A3KG-01,TCGA-DD-AACA-01,0.003749188686582878,0.392339704385782,104.64656147871077,104.64656147871077
