pair_type,cancer,sample_a,sample_b,kn,kf,omega_floor,omega_raw
TT,TCGA-LUAD,TCGA-44-3918-01,TCGA-55-6969-01,0.003176686090190346,0.29525210117585243,92.94342997490226,92.94342997490226
TT,TCGA-LUAD,TCGA-38-4626-01,TCGA-64-5781-01,0.00305245340118703,0.20322979120952278,66.57916256165986,66.57916256165986
TT,TCGA-LUAD,TCGA-49-4487-01,TCGA-55-6969-01,0.0014841322398436313,0.26128622913243954,176.05319938334387,176.05319938334387
TT,TCGA-LUAD,TCGA-KN-8418-01,TCGA-TQ-A7RP-01,0.003540944326727825,0.40381562740117005,114.04178946081728,114.04178946081728
TT,TCGA-LUAD,TCGA-49-AAR0-01,TCGA-55-6968-01,0.0032576903644532832,0.24397885944626535,74.8932010569429,74.8932010569429
TT,TCGA-LUAD,TCGA-55-A4DF-01,TCGA-86-8674-01,0.003293234900110069,0.274229718554172,83.27062200907882,83.27062200907882
TT,TCGA-LUAD,TCGA-50-6592-01,TCGA-TQ-A7RR-01,0.0034957638508373327,0.30522181988608665,87.3119103319801,87.3119103319801
TT,TCGA-LUAD,TCGA-50-6591-01,TCGA-KN-8419-01,0.006051895963935267,0.3426896125249737,56.62516582689874,56.62516582689874
TT,TCGA-LUAD,TCGA-50-6673-01,TCGA-55-8089-01,0.0013504422492953661,0.30442735432637424,225.4278955543774,225.4278955543774
TT,TCGA-LUAD,TCGA-44-A47A-01,TCGA-55-A492-01,0.0037485145092825156,0.29160626558229397,77.79248682649727,77.79248682649727
TT,TCGA-LUAD,TCGA-50-5941-01,TCGA-97-7941-01,0.001261892479748695,0.2669117126313948,211.51700078643,211.51700078643
TT,TCGA-LUAD,TCGA-49-AAR0-01,TCGA-73-4676-01,0.0036180025110801395,0.1979601887704114,54.71532652731941,54.71532652731941
TT,TCGA-LUAD,TCGA-05-4390-01,TCGA-MP-A4T4-01,0.001954766777003306,0.3529902888520482,180.57923482472364,180.57923482472364
TT,TCGA-LUAD,TCGA-55-8089-01,TCGA-55-8507-01,0.00195482930629808,0.3319777251384326,169.82440567514763,169.82440567514763
TT,TCGA-LUAD,TCGA-44-3917-01,TCGA-44-6145-01,0.00989194573882786,0.07125107618990353,7.202938438110195,7.202938438110195
TT,TCGA-LUAD,TCGA-44-4112-01,TCGA-91-A4BD-01,0.003981920223460318,0.34054569873993423,85.52298379398408,85.52298379398408
TT,TCGA-LUAD,TCGA-55-7911-01,TCGA-NJ-A7XG-01,0.001639981617837957,0.33272941933738737,202.88606635483865,202.88606635483865
TT,TCGA-LUAD,TCGA-38-6178-01,TCGA-55-A4DF-01,0.0019464373045062506,0.2649618370037111,136.12657155218443,136.12657155218443
TT,TCGA-LUAD,TCGA-NJ-A55A-01,TCGA-TQ-A7RM-01,0.0023179783765859495,0.07262114351340167,31.329517240951237,31.329517240951237
TT,TCGA-LUAD,TCGA-44-A4SS-01,TCGA-N6-A4VF-01,0.0020801986098994574,0.3739275135790566,179.75567900082854,179.75567900082854
TT,TCGA-LUAD,TCGA-75-5122-01,TCGA-97-A4M2-01,0.0018900029835356657,0.17632462174256786,93.2933033855396,93.2933033855396
TT,TCGA-LUAD,TCGA-91-7771-01,TCGA-TQ-A7RN-01,0.003230303263024305,0.18434299676283683,57.06677725058219,57.06677725058219
TT,TCGA-LUAD,TCGA-44-2661-01,TCGA-97-7937-01,0.003234784680306106,0.2762288454398694,85.39327118790796,85.39327118790796
TT,TCGA-LUAD,TCGA-44-2657-01,TCGA-KN-8426-01,0.004160075223173225,0.16115059901964357,38.73742429511191,38.73742429511191
TT,TCGA-LUAD,TCGA-73-4668-01,TCGA-73-A9RS-01,0.002015044985581467,0.3475472404098711,172.47616946357252,172.47616946357252
TT,TCGA-LUAD,TCGA-93-A4JP-01,TCGA-J2-8194-01,0.0013204354335118525,0.3308006491715946,250.52391110998252,250.52391110998252
TT,TCGA-LUAD,TCGA-38-4627-01,TCGA-97-7941-01,0.001961231105727473,0.2519945774260505,128.48795671766536,128.48795671766536
TT,TCGA-LUAD,TCGA-05-4250-01,TCGA-05-4410-01,0.0020552158543531785,0.2943001754467507,143.19672302225084,143.19672302225084
