cancer,pair_type,sample_a,sample_b,kn,kf,omega,d_immune,d_stromal,d_epithelial,d_overall
TCGA-LUAD,TT,TCGA-44-3918-01,TCGA-55-6969-01,0.006103878315843268,0.4873650964596342,79.84515274405554,0.21630615,0.4017353,0.043687403,0.22057629
TCGA-LUAD,TT,TCGA-38-4626-01,TCGA-64-5781-01,0.005830928863248009,0.3792155935932542,65.03519464684727,1.0132492,0.039147377,0.12565112,0.39268255
TCGA-LUAD,TT,TCGA-49-4487-01,TCGA-55-6969-01,0.002914093665772677,0.45373996509933034,155.70534689008372,0.37585604,0.11509502,0.5126469,0.33453265
TCGA-LUAD,TT,TCGA-KN-8418-01,TCGA-TQ-A7RP-01,0.007006770024575825,0.6384054245566229,91.11265566265972,0.22138643,1.5877942,3.0705912,1.6265906
TCGA-LUAD,TT,TCGA-49-AAR0-01,TCGA-55-6968-01,0.006405879699433881,0.44137285025129036,68.90120810265866,0.09221548,0.19674814,0.060483083,0.116482235
TCGA-LUAD,TT,TCGA-55-A4DF-01,TCGA-86-8674-01,0.006547260221342969,0.4857514723351831,74.19156348050974,1.75867,0.31317988,0.018940434,0.6969301
TCGA-LUAD,TT,TCGA-50-6592-01,TCGA-TQ-A7RR-01,0.007022138048140933,0.5355836229749413,76.27073397065068,3.8947525,4.296812,6.128035,4.7731996
TCGA-LUAD,TT,TCGA-50-6591-01,TCGA-KN-8419-01,0.012085631481871372,0.5755988142021933,47.62670573445832,0.19437408,2.5638804,1.1237097,1.2939881
TCGA-LUAD,TT,TCGA-50-6673-01,TCGA-55-8089-01,0.002688228078953115,0.5166022091269262,192.17201589833414,1.4885466,0.051214337,0.15741512,0.5657254
TCGA-LUAD,TT,TCGA-44-A47A-01,TCGA-55-A492-01,0.007221953875739149,0.5119215770436447,70.88408287449091,0.7615763,0.8585902,0.24117757,0.62044805
TCGA-LUAD,TT,TCGA-50-5941-01,TCGA-97-7941-01,0.0025035022811670227,0.4639664769018167,185.3269639065541,0.775027,0.24273196,0.07582736,0.36452878
TCGA-LUAD,TT,TCGA-49-AAR0-01,TCGA-73-4676-01,0.007030434920859448,0.373613128563136,53.142249771008906,1.6606853,0.02056371,0.25734183,0.64619696
TCGA-LUAD,TT,TCGA-05-4390-01,TCGA-MP-A4T4-01,0.003917144697727868,0.5753215767166547,146.87268944912066,1.4034584,0.21030945,0.32101482,0.64492756
TCGA-LUAD,TT,TCGA-55-8089-01,TCGA-55-8507-01,0.0038513037149721756,0.5501667607779283,142.85208373443044,1.6793969,0.30751058,0.022000313,0.66963595
TCGA-LUAD,TT,TCGA-44-3917-01,TCGA-44-6145-01,0.01869396521691743,0.1804282794223085,9.651685842392967,2.2613132,1.5436531,2.4363859,2.0804508
