statistic,point,point_p,cluster_boot_median,ci_lo,ci_hi,ct_boot_median,ct_ci_lo,ct_ci_hi
"CT-level Spearman rho(mean_omega, mean_kf), all 17 CTs",0.232843137254902,0.368459654854376,0.18627450980392157,-0.08339460784313726,0.3823529411764707,0.24581771558625592,-0.4703097902957997,0.6988400802105525
"CT-level Spearman rho(mean_omega, mean_kn), all 17 CTs",-0.3088235294117647,0.22778565332325174,-0.3982843137254902,-0.605453431372549,-0.16654411764705895,-0.31188089238804945,-0.7953383982660777,0.22964495891852504
"CT-level Spearman rho(mean_omega, mean_kf), well-sampled (n_pairs>=5)",0.09999999999999999,0.8728885715695384,0.19999999999999998,-0.7,0.8999999999999998,,,
"CT-level Spearman rho(mean_omega, mean_kn), well-sampled (n_pairs>=5)",-0.39999999999999997,0.5046315754686912,-0.39999999999999997,-0.8999999999999998,0.3,,,
